datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-05-12 00:00:00,173.20000000,174.85000000,173.07000000,174.84000000,55984.13100000,2025-05-12 00:29:59.999,9742450.73495000,53458,33159.72800000,5770874.53563000,0
2025-05-12 00:30:00,174.84000000,175.77000000,174.05000000,174.52000000,81131.29500000,2025-05-12 00:59:59.999,14195304.27094000,60886,45803.55400000,8016523.81422000,0
2025-05-12 01:00:00,174.51000000,176.07000000,174.22000000,174.52000000,87562.74600000,2025-05-12 01:29:59.999,15358527.65350000,69749,43081.93900000,7558454.73218000,0
2025-05-12 01:30:00,174.53000000,174.57000000,171.74000000,173.73000000,98304.15200000,2025-05-12 01:59:59.999,17008393.26996000,85279,43645.54600000,7548482.39460000,0
2025-05-12 02:00:00,173.74000000,176.88000000,173.74000000,175.43000000,130847.16500000,2025-05-12 02:29:59.999,22951838.07302000,92062,60656.63700000,10637371.48993000,0
2025-05-12 02:30:00,175.44000000,176.54000000,172.81000000,173.99000000,118477.42800000,2025-05-12 02:59:59.999,20688402.99184000,84238,46268.02900000,8077965.56159000,0
2025-05-12 03:00:00,174.00000000,174.74000000,173.03000000,173.98000000,75335.39300000,2025-05-12 03:29:59.999,13089817.89946000,59104,34140.82800000,5932603.39671000,0
2025-05-12 03:30:00,173.99000000,174.90000000,173.68000000,174.90000000,51300.76600000,2025-05-12 03:59:59.999,8937238.60411000,35413,23553.55500000,4103148.98405000,0
2025-05-12 04:00:00,174.90000000,175.47000000,174.10000000,174.65000000,87763.18300000,2025-05-12 04:29:59.999,15350491.09926000,46229,40383.42700000,7060018.00032000,0
2025-05-12 04:30:00,174.66000000,176.11000000,174.19000000,175.85000000,108795.09900000,2025-05-12 04:59:59.999,19092781.84689000,59098,54767.72100000,9612843.92721000,0
2025-05-12 05:00:00,175.85000000,176.17000000,174.30000000,174.64000000,82325.10000000,2025-05-12 05:29:59.999,14413533.04434000,58607,31274.40400000,5479999.72470000,0
2025-05-12 05:30:00,174.63000000,175.05000000,173.63000000,174.54000000,49061.34000000,2025-05-12 05:59:59.999,8558819.55241000,53020,21517.49500000,3754690.04119000,0
2025-05-12 06:00:00,174.53000000,175.50000000,173.79000000,175.31000000,70740.12000000,2025-05-12 06:29:59.999,12355910.90524000,51583,32004.59600000,5591441.73168000,0
2025-05-12 06:30:00,175.32000000,176.00000000,175.06000000,175.73000000,59874.24400000,2025-05-12 06:59:59.999,10514791.04871000,43435,26966.85900000,4736194.69524000,0
2025-05-12 07:00:00,175.74000000,179.69000000,175.74000000,179.33000000,637464.95300000,2025-05-12 07:29:59.999,113759639.67889000,275358,329588.81900000,58806668.28027000,0
2025-05-12 07:30:00,179.34000000,179.79000000,174.85000000,176.09000000,301736.74600000,2025-05-12 07:59:59.999,53520447.03515000,180476,143044.13900000,25371687.28382000,0
2025-05-12 08:00:00,176.08000000,176.17000000,173.64000000,174.75000000,179186.89900000,2025-05-12 08:29:59.999,31327573.21137000,109117,90935.50500000,15905797.75853000,0
2025-05-12 08:30:00,174.75000000,177.01000000,174.40000000,176.56000000,134307.27900000,2025-05-12 08:59:59.999,23626242.27398000,68972,73155.05600000,12869021.74076000,0
2025-05-12 09:00:00,176.57000000,176.94000000,176.00000000,176.73000000,82325.55700000,2025-05-12 09:29:59.999,14524191.87943000,57349,41178.88600000,7264893.93440000,0
2025-05-12 09:30:00,176.74000000,176.81000000,175.50000000,175.68000000,77440.42700000,2025-05-12 09:59:59.999,13632703.40827000,42298,36273.92100000,6387870.09612000,0
2025-05-12 10:00:00,175.68000000,176.17000000,174.78000000,175.29000000,96054.28400000,2025-05-12 10:29:59.999,16852924.06886000,65922,42901.79000000,7528081.79560000,0
2025-05-12 10:30:00,175.29000000,176.10000000,174.92000000,175.97000000,48478.78800000,2025-05-12 10:59:59.999,8516742.44743000,42355,26740.60200000,4698300.76785000,0
2025-05-12 11:00:00,175.96000000,176.43000000,174.81000000,175.27000000,70137.91400000,2025-05-12 11:29:59.999,12323926.71455000,51459,29189.24200000,5131691.93110000,0
