datetime,open,high,low,close,volume
2025-05-01,5617.5,5682.5,5601.75,5623.25,1388619
2025-05-02,5608.5,5724.75,5601.0,5709.0,1383367
2025-05-05,5705.0,5706.25,5655.25,5671.75,989373
2025-05-06,5666.25,5673.25,5605.0,5625.75,1303877
2025-05-07,5608.5,5689.75,5596.0,5652.0,1390561
2025-05-08,5643.25,5741.0,5636.5,5684.5,1428613
2025-05-09,5688.5,5715.25,5662.5,5678.0,1029418
2025-05-12,5761.0,5876.25,5734.25,5865.0,1765593
2025-05-13,5868.0,5927.0,5835.75,5904.5,1335457
2025-05-14,5902.0,5925.0,5890.0,5908.5,1207202
2025-05-15,5904.0,5944.5,5867.0,5933.25,1291986
2025-05-16,5935.0,5977.5,5923.0,5975.5,1180875
