datetime,open,high,low,close,volume
2025-05-01,19834.0,20125.75,19757.25,19870.75,588901
2025-05-02,19782.5,20276.75,19749.5,20195.25,517806
2025-05-05,20181.5,20201.75,19966.0,20055.5,418875
2025-05-06,20014.25,20036.75,19739.0,19876.5,514526
2025-05-07,19809.0,20133.75,19678.75,19961.0,597360
2025-05-08,19934.5,20337.25,19910.75,20148.0,567597
2025-05-09,20157.0,20288.75,20058.0,20136.75,453686
2025-05-12,20398.5,20996.0,20376.75,20948.75,638564
2025-05-13,20954.75,21346.5,20818.0,21278.0,526706
2025-05-14,21250.0,21419.5,21238.25,21392.5,513593
2025-05-15,21379.75,21529.75,21192.0,21400.25,542990
2025-05-16,21396.0,21512.0,21320.25,21506.0,419242
