weekday,hour,avg_vol,freq
4,10,224.2730769230771,15m
4,11,215.3490865384621,15m
4,12,304.40038461538467,15m
4,13,404.6936538461545,15m
4,14,504.2128365384616,15m
4,15,492.08298076923097,15m
4,16,401.5307211538465,15m
4,17,374.42807692307724,15m
4,18,352.2239423076921,15m
4,19,324.0911057692304,15m
4,20,298.10249999999957,15m
4,21,273.0725480769239,15m
4,22,217.93634615384605,15m
4,23,200.02394230769272,15m
5,0,205.53677884615323,15m
5,1,213.54802884615353,15m
5,2,174.4562980769236,15m
5,3,154.9124999999996,15m
5,4,148.99764423076903,15m
5,5,146.939903846154,15m
5,6,137.753557692308,15m
5,7,138.2251923076921,15m
5,8,135.3451442307691,15m
5,9,139.27625000000003,15m
5,10,141.5975961538457,15m
5,11,139.57254807692365,15m
5,12,148.77552884615386,15m
5,13,173.05850961538496,15m
5,14,173.04100961538472,15m
5,15,178.18831730769244,15m
5,16,190.0781730769227,15m
5,17,183.62908653846185,15m
5,18,155.89365384615374,15m
5,19,156.2482211538466,15m
5,20,195.74995192307708,15m
5,21,165.4275961538463,15m
5,22,170.29461538461535,15m
5,23,164.98817307692286,15m
6,0,169.3211057692304,15m
6,1,167.36019230769256,15m
6,2,179.31461538461508,15m
6,3,167.74625000000012,15m
6,4,158.07980769230775,15m
6,5,143.74793269230832,15m
6,6,125.77341346153796,15m
6,7,136.52163461538427,15m
6,8,148.0979326923075,15m
6,9,157.73014423076938,15m
6,10,151.80899038461556,15m
6,11,171.01600961538466,15m
6,12,188.51168269230772,15m
6,13,199.61927884615363,15m
6,14,256.9785096153845,15m
6,15,244.7150961538466,15m
6,16,257.12336538461483,15m
6,17,256.1288461538462,15m
6,18,224.0003365384617,15m
6,19,204.69706730769215,15m
6,20,209.03894230769222,15m
6,21,262.3208173076931,15m
6,22,344.116971153846,15m
6,23,319.0515865384619,15m
0,0,201.46328616352213,5m
0,1,204.51209119496872,5m
0,2,169.79136792452846,5m
0,3,143.29555031446563,5m
0,4,121.00375786163497,5m
0,5,128.27413522012574,5m
0,6,162.71825471698094,5m
0,7,158.45507861635193,5m
0,8,153.5855345911953,5m
0,9,156.86320754716985,5m
0,10,138.92363207547157,5m
0,11,136.8528616352202,5m
0,12,167.90885220125773,5m
0,13,220.27364779874253,5m
0,14,296.13768867924523,5m
0,15,268.63853773584924,5m
0,16,229.6059119496856,5m
0,17,245.0142651757192,5m
0,18,203.23604166666695,5m
0,19,206.58466346153836,5m
0,20,185.4092467948718,5m
0,21,178.5155929487175,5m
0,22,169.91190705128196,5m
0,23,154.60756410256425,5m
1,0,193.0484775641028,5m
1,1,185.0260416666668,5m
1,2,166.74064102564125,5m
1,3,135.11424679487172,5m
1,4,129.36823717948755,5m
1,5,127.70459935897445,5m
1,6,124.39435897435895,5m
1,7,133.55201923076916,5m
1,8,146.10443910256416,5m
1,9,136.97432692307711,5m
1,10,142.14818910256452,5m
1,11,137.65379807692307,5m
1,12,154.7466506410257,5m
1,13,221.31293269230744,5m
1,14,308.5560256410259,5m
