weekday,hour,avg_vol,freq
0,0,51.700000000000045,1d
1,0,68.90000000000009,1d
2,0,62.99000000000001,1d
3,0,248.97000000000003,1d
4,0,182.22000000000003,1d
5,0,38.59999999999991,1d
6,0,46.950000000000045,1d
0,0,36.6400000000001,4h
0,4,37.01999999999998,4h
0,8,33.25,4h
0,12,21.160000000000082,4h
0,16,27.720000000000027,4h
0,20,34.02999999999997,4h
1,0,28.410000000000082,4h
1,4,11.480000000000018,4h
1,8,48.75999999999999,4h
1,12,27.680000000000064,4h
1,16,36.63999999999987,4h
1,20,53.91000000000008,4h
2,0,35.41000000000008,4h
2,4,13.860000000000127,4h
2,8,16.539999999999964,4h
2,12,22.809999999999945,4h
2,16,31.0,4h
2,20,36.320000000000164,4h
3,0,62.26999999999998,4h
3,4,33.194999999999936,4h
3,8,46.625,4h
3,12,84.67500000000007,4h
3,16,67.55999999999995,4h
3,20,65.95500000000004,4h
4,0,38.45000000000016,4h
4,4,112.88499999999988,4h
4,8,110.59000000000003,4h
4,12,73.94500000000005,4h
4,16,60.08499999999992,4h
4,20,22.67999999999995,4h
5,0,40.06499999999994,4h
5,4,52.58500000000015,4h
5,8,44.29999999999984,4h
5,12,40.249999999999886,4h
5,16,33.72500000000002,4h
5,20,20.199999999999818,4h
6,0,23.159999999999854,4h
6,4,20.289999999999964,4h
6,8,19.339999999999918,4h
6,12,15.420000000000073,4h
6,16,11.410000000000082,4h
6,20,39.15000000000009,4h
0,0,11.990000000000009,1h
0,1,35.41000000000008,1h
0,2,20.789999999999964,1h
0,3,7.6400000000001,1h
0,4,12.560000000000173,1h
0,5,17.25999999999999,1h
0,6,9.670000000000073,1h
0,7,13.099999999999909,1h
0,8,7.9500000000000455,1h
0,9,7.940000000000055,1h
0,10,25.700000000000045,1h
0,11,11.839999999999918,1h
0,12,9.590000000000146,1h
0,13,14.799999999999955,1h
0,14,16.29000000000019,1h
0,15,12.889999999999873,1h
0,16,11.420000000000073,1h
0,17,12.310000000000173,1h
0,18,16.5,1h
0,19,12.990000000000009,1h
0,20,17.0,1h
0,21,11.289999999999964,1h
0,22,17.309999999999945,1h
0,23,13.680000000000064,1h
1,0,9.950000000000045,1h
1,1,17.54000000000019,1h
1,2,14.8900000000001,1h
1,3,9.410000000000082,1h
1,4,5.139999999999873,1h
1,5,10.230000000000018,1h
1,6,7.660000000000082,1h
1,7,7.660000000000082,1h
1,8,17.75,1h
1,9,9.599999999999909,1h
1,10,15.450000000000045,1h
1,11,33.25999999999999,1h
1,12,9.950000000000045,1h
1,13,23.8900000000001,1h
1,14,20.529999999999973,1h
1,15,18.3599999999999,1h
1,16,13.039999999999964,1h
1,17,13.480000000000018,1h
1,18,24.440000000000055,1h
1,19,14.379999999999882,1h
1,20,20.6099999999999,1h
1,21,15.5,1h
1,22,37.57999999999993,1h
1,23,17.310000000000173,1h
2,0,33.180000000000064,1h
2,1,21.180000000000064,1h
2,2,13.269999999999982,1h
2,3,11.289999999999964,1h
2,4,8.840000000000146,1h
2,5,4.9500000000000455,1h
2,6,8.220000000000027,1h
2,7,8.330000000000155,1h
2,8,9.670000000000073,1h
2,9,7.389999999999873,1h
2,10,16.539999999999964,1h
2,11,6.1099999999999,1h
2,12,10.2199999999998,1h
2,13,13.889999999999873,1h
2,14,16.529999999999973,1h
2,15,11.309999999999945,1h
2,16,17.960000000000036,1h
2,17,24.360000000000127,1h
2,18,28.200000000000045,1h
2,19,20.99000000000001,1h
2,20,11.980000000000018,1h
2,21,13.070000000000164,1h
2,22,20.769999999999982,1h
2,23,17.15000000000009,1h
3,0,13.029999999999973,1h
3,1,14.995000000000005,1h
3,2,19.269999999999982,1h
3,3,38.29500000000007,1h
3,4,15.029999999999973,1h
3,5,12.245000000000118,1h
3,6,13.199999999999932,1h
3,7,24.04499999999996,1h
3,8,16.194999999999936,1h
3,9,11.059999999999945,1h
3,10,31.49000000000001,1h
3,11,18.610000000000014,1h
3,12,18.069999999999936,1h
3,13,25.870000000000005,1h
3,14,32.34000000000003,1h
3,15,58.180000000000064,1h
3,16,24.029999999999973,1h
3,17,19.574999999999932,1h
3,18,20.444999999999936,1h
3,19,48.159999999999854,1h
3,20,51.06000000000006,1h
3,21,39.07999999999993,1h
3,22,19.034999999999968,1h
3,23,24.855000000000018,1h
4,0,23.090000000000032,1h
4,1,33.18999999999994,1h
4,2,16.780000000000086,1h
4,3,27.465000000000032,1h
4,4,16.10499999999979,1h
4,5,14.705000000000041,1h
4,6,27.180000000000064,1h
4,7,76.47499999999991,1h
4,8,73.38499999999988,1h
4,9,69.21999999999991,1h
4,10,22.539999999999964,1h
4,11,33.789999999999964,1h
4,12,24.45500000000004,1h
4,13,36.235000000000014,1h
4,14,58.33499999999992,1h
4,15,30.795000000000073,1h
4,16,35.81500000000017,1h
4,17,36.079999999999814,1h
4,18,17.455000000000155,1h
4,19,27.38999999999976,1h
4,20,19.174999999999955,1h
4,21,17.139999999999873,1h
4,22,12.230000000000018,1h
4,23,11.499999999999886,1h
5,0,35.25499999999988,1h
5,1,21.154999999999973,1h
5,2,11.68500000000006,1h
5,3,8.974999999999909,1h
5,4,9.365000000000009,1h
5,5,11.930000000000064,1h
5,6,17.875,1h
5,7,33.504999999999995,1h
5,8,41.69999999999993,1h
5,9,33.01999999999998,1h
5,10,28.489999999999895,1h
5,11,18.30499999999995,1h
5,12,22.764999999999873,1h
5,13,24.210000000000036,1h
5,14,21.79000000000019,1h
5,15,15.204999999999814,1h
5,16,25.059999999999945,1h
5,17,17.559999999999945,1h
