index,volatility,freq,price_level
25%,2.6000000000000227,30m,3f-4
50%,4.199999999999989,30m,3f-4
75%,6.924999999999983,30m,3f-4
max,46.10000000000002,30m,3f-4
count,12640.0,15m,3f-6
mean,2.777567246835444,15m,3f-6
std,2.1116329635320317,15m,3f-6
min,0.11000000000001364,15m,3f-6
25%,1.5,15m,3f-6
50%,2.240000000000009,15m,3f-6
75%,3.409999999999968,15m,3f-6
max,56.10000000000002,15m,3f-6
count,18798.0,15m,3f-5
mean,2.2020518140227683,15m,3f-5
std,1.7650598186177986,15m,3f-5
min,0.1999999999999318,15m,3f-5
25%,1.2000000000000455,15m,3f-5
50%,1.7999999999999545,15m,3f-5
75%,2.699999999999932,15m,3f-5
max,56.77999999999997,15m,3f-5
count,2978.0,15m,3f-7
mean,3.043821356615178,15m,3f-7
std,2.425154879266866,15m,3f-7
min,0.2599999999999909,15m,3f-7
25%,1.580000000000041,15m,3f-7
50%,2.3600000000000136,15m,3f-7
75%,3.5999999999999943,15m,3f-7
max,27.970000000000027,15m,3f-7
count,719.0,15m,3f-4
mean,3.8431154381084824,15m,3f-4
std,3.426572270194688,15m,3f-4
min,0.5,15m,3f-4
25%,1.8999999999999773,15m,3f-4
50%,2.900000000000034,15m,3f-4
75%,4.699999999999989,15m,3f-4
max,46.10000000000002,15m,3f-4
count,37944.0,5m,3f-6
mean,1.5210383723381833,5m,3f-6
std,1.2328547353670594,5m,3f-6
min,0.01999999999998181,5m,3f-6
25%,0.7999999999999545,5m,3f-6
50%,1.2000000000000455,5m,3f-6
75%,1.8800000000001091,5m,3f-6
max,45.620000000000005,5m,3f-6
count,56369.0,5m,3f-5
mean,1.2075302027710264,5m,3f-5
std,1.0240357177363442,5m,3f-5
min,0.07999999999992724,5m,3f-5
25%,0.6000000000000227,5m,3f-5
50%,1.0,5m,3f-5
75%,1.5,5m,3f-5
max,48.799999999999955,5m,3f-5
count,8929.0,5m,3f-7
mean,1.6553477433083221,5m,3f-7
std,1.3943428306382424,5m,3f-7
min,0.06000000000005912,5m,3f-7
25%,0.8300000000000409,5m,3f-7
50%,1.2699999999999818,5m,3f-7
75%,1.990000000000009,5m,3f-7
max,22.06000000000006,5m,3f-7
count,2162.0,5m,3f-4
mean,2.130619796484736,5m,3f-4
std,1.9289716169663755,5m,3f-4
min,0.19999999999998863,5m,3f-4
25%,1.0,5m,3f-4
50%,1.6999999999999886,5m,3f-4
