index,volatility,freq,price_level
count,4593.0,1h,3f-3
mean,4.046832135858915,1h,3f-3
std,3.14047410670593,1h,3f-3
min,0.6999999999999886,1h,3f-3
25%,2.1999999999999886,1h,3f-3
50%,3.1999999999999886,1h,3f-3
75%,4.800000000000011,1h,3f-3
max,63.19999999999999,1h,3f-3
count,134.0,1h,3f-2
mean,6.241791044776121,1h,3f-2
std,5.08026253698874,1h,3f-2
min,1.3000000000000114,1h,3f-2
25%,3.1999999999999886,1h,3f-2
50%,5.150000000000034,1h,3f-2
75%,7.574999999999974,1h,3f-2
max,39.60000000000002,1h,3f-2
count,681.0,30m,3f-6
mean,8.020411160058735,30m,3f-6
std,5.135700634496662,30m,3f-6
min,1.1000000000000227,30m,3f-6
25%,4.5,30m,3f-6
50%,6.599999999999909,30m,3f-6
75%,10.100000000000023,30m,3f-6
max,38.700000000000045,30m,3f-6
count,1470.0,30m,3f-5
mean,6.4393877551020395,30m,3f-5
std,4.94679448360473,30m,3f-5
min,0.7999999999999545,30m,3f-5
25%,3.5249999999999773,30m,3f-5
50%,5.0,30m,3f-5
75%,7.5,30m,3f-5
max,59.30000000000007,30m,3f-5
count,19.0,30m,3f-7
mean,10.910526315789477,30m,3f-7
std,4.13305035816864,30m,3f-7
min,5.2000000000000455,30m,3f-7
25%,7.699999999999989,30m,3f-7
50%,10.5,30m,3f-7
75%,13.350000000000023,30m,3f-7
max,20.200000000000045,30m,3f-7
count,5887.0,30m,3f-4
mean,4.1190759300152875,30m,3f-4
std,3.1323416722193853,30m,3f-4
min,0.4000000000000341,30m,3f-4
25%,2.1999999999999886,30m,3f-4
50%,3.2999999999999545,30m,3f-4
75%,5.0,30m,3f-4
max,47.30000000000001,30m,3f-4
count,9191.0,30m,3f-3
mean,2.8006419323251004,30m,3f-3
std,2.2614132295147904,30m,3f-3
min,0.5,30m,3f-3
25%,1.5,30m,3f-3
50%,2.1999999999999886,30m,3f-3
75%,3.3000000000000114,30m,3f-3
max,56.39999999999998,30m,3f-3
count,260.0,30m,3f-2
mean,4.218461538461537,30m,3f-2
std,3.2651969523309234,30m,3f-2
min,0.6999999999999886,30m,3f-2
25%,2.0,30m,3f-2
50%,3.3999999999999773,30m,3f-2
75%,5.424999999999983,30m,3f-2
max,25.80000000000001,30m,3f-2
count,1370.0,15m,3f-6
mean,5.6313868613138665,15m,3f-6
std,3.83975307796663,15m,3f-6
min,0.7999999999999545,15m,3f-6
25%,3.1000000000000227,15m,3f-6
50%,4.599999999999909,15m,3f-6
75%,6.899999999999977,15m,3f-6
max,40.0,15m,3f-6
count,2940.0,15m,3f-5
mean,4.486734693877551,15m,3f-5
std,3.5476210419354453,15m,3f-5
min,0.6000000000000227,15m,3f-5
25%,2.3999999999999773,15m,3f-5
50%,3.6000000000000227,15m,3f-5
75%,5.300000000000011,15m,3f-5
max,59.30000000000007,15m,3f-5
count,37.0,15m,3f-7
mean,7.9027027027027055,15m,3f-7
std,3.6727590663095606,15m,3f-7
min,3.0,15m,3f-7
25%,5.0,15m,3f-7
50%,7.899999999999977,15m,3f-7
75%,9.599999999999909,15m,3f-7
max,17.799999999999955,15m,3f-7
count,11764.0,15m,3f-4
mean,2.8558993539612367,15m,3f-4
std,2.2407469930892696,15m,3f-4
min,0.19999999999998863,15m,3f-4
25%,1.5,15m,3f-4
50%,2.2999999999999545,15m,3f-4
75%,3.5,15m,3f-4
max,46.10000000000002,15m,3f-4
count,18386.0,15m,3f-3
mean,1.9432938105079953,15m,3f-3
std,1.6149841959135762,15m,3f-3
min,0.10000000000002274,15m,3f-3
25%,1.0,15m,3f-3
50%,1.5,15m,3f-3
75%,2.3000000000000114,15m,3f-3
max,51.60000000000002,15m,3f-3
count,518.0,15m,3f-2
mean,2.93050193050193,15m,3f-2
std,2.3720805407642636,15m,3f-2
min,0.39999999999997726,15m,3f-2
25%,1.3999999999999773,15m,3f-2
50%,2.3000000000000114,15m,3f-2
75%,3.674999999999997,15m,3f-2
max,22.80000000000001,15m,3f-2
count,4104.0,5m,3f-6
mean,3.1337962962962953,5m,3f-6
std,2.2716589592041347,5m,3f-6
min,0.3000000000000682,5m,3f-6
25%,1.7000000000000455,5m,3f-6
50%,2.5,5m,3f-6
75%,3.8999999999999773,5m,3f-6
max,30.300000000000068,5m,3f-6
count,110.0,5m,3f-7
mean,4.996363636363637,5m,3f-7
std,2.921823210895853,5m,3f-7
min,1.3999999999999773,5m,3f-7
25%,2.8250000000000455,5m,3f-7
50%,4.449999999999989,5m,3f-7
75%,6.274999999999977,5m,3f-7
max,19.399999999999977,5m,3f-7
count,8843.0,5m,3f-5
mean,2.474838855591994,5m,3f-5
std,2.054775021665265,5m,3f-5
min,0.1999999999999318,5m,3f-5
25%,1.3000000000000114,5m,3f-5
50%,1.900000000000091,5m,3f-5
75%,3.0,5m,3f-5
max,59.10000000000002,5m,3f-5
count,35269.0,5m,3f-4
mean,1.5502962941960359,5m,3f-4
std,1.3093755649441257,5m,3f-4
min,0.0,5m,3f-4
25%,0.8000000000000114,5m,3f-4
50%,1.1999999999999886,5m,3f-4
75%,1.900000000000034,5m,3f-4
max,39.10000000000002,5m,3f-4
count,55146.0,5m,3f-3
mean,1.0487161353497987,5m,3f-3
std,0.9133591495796287,5m,3f-3
min,0.0,5m,3f-3
25%,0.5,5m,3f-3
50%,0.8000000000000114,5m,3f-3
75%,1.2999999999999545,5m,3f-3
max,27.80000000000001,5m,3f-3
count,1571.0,5m,3f-2
mean,1.6016549968173137,5m,3f-2
std,1.6192818446342072,5m,3f-2
min,0.0999999999999659,5m,3f-2
25%,0.7000000000000455,5m,3f-2
50%,1.1999999999999886,5m,3f-2
75%,1.900000000000034,5m,3f-2
max,32.69999999999999,5m,3f-2
count,20529.0,1m,3f-6
mean,1.2781772127234636,1m,3f-6
std,1.0573293766475733,1m,3f-6
min,0.0,1m,3f-6
25%,0.6000000000000227,1m,3f-6
50%,1.0,1m,3f-6
75%,1.599999999999909,1m,3f-6
max,22.100000000000023,1m,3f-6
count,559.0,1m,3f-7
mean,2.089087656529513,1m,3f-7
std,1.4189724655164941,1m,3f-7
min,0.3000000000000682,1m,3f-7
25%,1.2000000000000455,1m,3f-7
50%,1.7000000000000455,1m,3f-7
75%,2.599999999999966,1m,3f-7
max,13.299999999999955,1m,3f-7
count,44224.0,1m,3f-5
mean,0.99270531837916,1m,3f-5
std,0.9160952008970952,1m,3f-5
min,0.0,1m,3f-5
25%,0.5,1m,3f-5
50%,0.7999999999999545,1m,3f-5
