index,volatility,freq,price_level
mean,0.012093649922225275,15m,1f-1
std,0.008279514699801913,15m,1f-1
min,0.0020000000000000018,15m,1f-1
25%,0.007000000000000117,15m,1f-1
50%,0.010000000000000009,15m,1f-1
75%,0.014999999999999902,15m,1f-1
max,0.31299999999999994,15m,1f-1
count,2685.0,15m,1f-0
mean,0.007121415270018623,15m,1f-0
std,0.006599361466593286,15m,1f-0
min,0.0010000000000000009,15m,1f-0
25%,0.0040000000000000036,15m,1f-0
50%,0.006000000000000005,15m,1f-0
75%,0.008000000000000007,15m,1f-0
max,0.19299999999999995,15m,1f-0
count,2532.0,5m,1f-3
mean,0.012120458135860969,5m,1f-3
std,0.008156031242075751,5m,1f-3
min,0.0019999999999997797,5m,1f-3
25%,0.007000000000000117,5m,1f-3
50%,0.010000000000000231,5m,1f-3
75%,0.015000000000000124,5m,1f-3
max,0.19100000000000028,5m,1f-3
count,28884.0,5m,1f-2
mean,0.011059617781470714,5m,1f-2
std,0.009172947605472785,5m,1f-2
min,0.0009999999999998899,5m,1f-2
25%,0.005999999999999783,5m,1f-2
50%,0.008999999999999897,5m,1f-2
75%,0.01399999999999979,5m,1f-2
max,0.3679999999999999,5m,1f-2
count,65586.0,5m,1f-1
mean,0.006706583722135823,5m,1f-1
std,0.004873565723644105,5m,1f-1
min,0.0,5m,1f-1
25%,0.0040000000000000036,5m,1f-1
50%,0.006000000000000005,5m,1f-1
75%,0.008000000000000007,5m,1f-1
max,0.31299999999999994,5m,1f-1
count,8042.0,5m,1f-0
mean,0.0038848545138025366,5m,1f-0
std,0.0033998064145233974,5m,1f-0
min,0.0,5m,1f-0
25%,0.0020000000000000018,5m,1f-0
50%,0.0030000000000000027,5m,1f-0
75%,0.0040000000000000036,5m,1f-0
max,0.11499999999999999,5m,1f-0
count,12643.0,1m,1f-3
mean,0.004621766985683774,1m,1f-3
std,0.003829783713765157,1m,1f-3
min,0.0,1m,1f-3
25%,0.0029999999999996696,1m,1f-3
50%,0.0040000000000000036,1m,1f-3
75%,0.005999999999999783,1m,1f-3
max,0.13500000000000023,1m,1f-3
count,144422.0,1m,1f-2
mean,0.004374042735871267,1m,1f-2
std,0.004179765374830019,1m,1f-2
min,0.0,1m,1f-2
25%,0.002000000000000224,1m,1f-2
50%,0.0030000000000001137,1m,1f-2
75%,0.005999999999999783,1m,1f-2
max,0.3679999999999999,1m,1f-2
count,327910.0,1m,1f-1
mean,0.002675956817419414,1m,1f-1
std,0.0021894462547254363,1m,1f-1
min,0.0,1m,1f-1
25%,0.001000000000000112,1m,1f-1
50%,0.0020000000000000018,1m,1f-1
75%,0.0030000000000001137,1m,1f-1
max,0.1359999999999999,1m,1f-1
count,40246.0,1m,1f-0
mean,0.0014119912537891967,1m,1f-0
std,0.00160146358874106,1m,1f-0
min,0.0,1m,1f-0
25%,0.0010000000000000009,1m,1f-0
50%,0.0010000000000000009,1m,1f-0
75%,0.0020000000000000018,1m,1f-0
max,0.08099999999999996,1m,1f-0
