index,volatility,freq,price_level
75%,10.36999999999989,5m,4位-3
max,293.4499999999998,5m,4位-3
count,43868.0,5m,4位-2
mean,6.929694994073126,5m,4位-2
std,6.99045975906311,5m,4位-2
min,0.02999999999974534,5m,4位-2
25%,3.3200000000001637,5m,4位-2
50%,5.139999999999873,5m,4位-2
75%,8.320000000000164,5m,4位-2
max,379.22999999999956,5m,4位-2
count,444.0,5m,4位-4
mean,9.336238738738725,5m,4位-4
std,5.349394222933657,5m,4位-4
min,2.019999999999982,5m,4位-4
25%,5.692499999999882,5m,4位-4
50%,8.054999999999836,5m,4位-4
75%,11.354999999999905,5m,4位-4
max,40.65000000000009,5m,4位-4
count,4477.0,5m,4位-1
mean,5.256654009381284,5m,4位-1
std,4.803042268252613,5m,4位-1
min,0.5799999999999272,5m,4位-1
25%,2.7100000000000364,5m,4位-1
50%,4.0499999999999545,5m,4位-1
75%,6.070000000000164,5m,4位-1
max,85.98000000000002,5m,4位-1
count,281264.0,1m,4位-3
mean,3.317110863814775,1m,4位-3
std,3.1251941835098904,1m,4位-3
min,0.009999999999763531,1m,4位-3
25%,1.5100000000002183,1m,4位-3
50%,2.580000000000382,1m,4位-3
75%,4.209999999999582,1m,4位-3
max,293.4499999999998,1m,4位-3
count,219351.0,1m,4位-2
mean,2.7466085406494605,1m,4位-2
std,3.093492875254863,1m,4位-2
min,0.009999999999763531,1m,4位-2
25%,1.1599999999998545,1m,4位-2
50%,2.0,1m,4位-2
75%,3.3799999999996544,1m,4位-2
max,242.32999999999993,1m,4位-2
count,2226.0,1m,4位-4
mean,3.68907008086253,1m,4位-4
std,2.5560206761017175,1m,4位-4
min,0.009999999999763531,1m,4位-4
25%,2.052500000000123,1m,4位-4
50%,3.0900000000001455,1m,4位-4
75%,4.639999999999873,1m,4位-4
max,32.320000000000164,1m,4位-4
count,22368.0,1m,4位-1
mean,2.094887339055796,1m,4位-1
std,2.16204594246095,1m,4位-1
min,0.009999999999990905,1m,4位-1
25%,0.9900000000000091,1m,4位-1
50%,1.5699999999999363,1m,4位-1
75%,2.519999999999982,1m,4位-1
max,85.98000000000002,1m,4位-1
