index,volatility,freq,price_level
25%,279.1399999999994,1h,5f-5
50%,411.9799999999959,1h,5f-5
75%,649.5599999999977,1h,5f-5
max,3994.279999999999,1h,5f-5
count,1.0,1h,5f-4
mean,1999.1699999999983,1h,5f-4
std,,1h,5f-4
min,1999.1699999999983,1h,5f-4
25%,1999.1699999999983,1h,5f-4
50%,1999.1699999999983,1h,5f-4
75%,1999.1699999999983,1h,5f-4
max,1999.1699999999983,1h,5f-4
count,869.0,1h,5f-8
mean,780.1859723820485,1h,5f-8
std,608.7962224090045,1h,5f-8
min,56.25,1h,5f-8
25%,400.27999999999884,1h,5f-8
50%,588.6000000000058,1h,5f-8
75%,980.2400000000052,1h,5f-8
max,6615.990000000005,1h,5f-8
count,1858.0,1h,5f-9
mean,708.4786275565124,1h,5f-9
std,532.9906976358945,1h,5f-9
min,96.22999999999593,1h,5f-9
25%,378.3549999999923,1h,5f-9
50%,562.5449999999983,1h,5f-9
75%,871.385000000002,1h,5f-9
max,8540.0,1h,5f-9
count,636.0,1h,6f-1
mean,837.1539465408804,1h,6f-1
std,673.6390352037408,1h,6f-1
min,137.47000000000116,1h,6f-1
25%,441.1675000000105,1h,6f-1
50%,662.8799999999974,1h,6f-1
75%,971.7450000000026,1h,6f-1
max,7367.199999999997,1h,6f-1
count,789.0,30m,5f-7
mean,384.0208491761729,30m,5f-7
std,285.5781520309721,30m,5f-7
min,58.270000000004075,30m,5f-7
25%,205.47999999999593,30m,5f-7
50%,298.72000000000116,30m,5f-7
75%,457.1000000000058,30m,5f-7
max,2196.929999999993,30m,5f-7
count,7811.0,30m,5f-6
mean,299.86954295224683,30m,5f-6
std,226.3878624672267,30m,5f-6
min,6.5,30m,5f-6
25%,160.6899999999987,30m,5f-6
50%,243.3000000000029,30m,5f-6
75%,369.8249999999971,30m,5f-6
max,4193.330000000002,30m,5f-6
count,2180.0,30m,5f-5
mean,368.75290825688063,30m,5f-5
std,297.0803472195137,30m,5f-5
min,37.69000000000233,30m,5f-5
25%,195.09749999999804,30m,5f-5
50%,286.10499999999956,30m,5f-5
75%,447.0375000000022,30m,5f-5
max,3994.279999999999,30m,5f-5
count,2.0,30m,5f-4
mean,1416.7000000000007,30m,5f-4
std,494.88989401683904,30m,5f-4
min,1066.760000000002,30m,5f-4
25%,1241.7300000000014,30m,5f-4
50%,1416.7000000000007,30m,5f-4
75%,1591.67,30m,5f-4
max,1766.6399999999994,30m,5f-4
count,1741.0,30m,5f-8
mean,544.9962205628951,30m,5f-8
std,435.9512074291413,30m,5f-8
