index,volatility,freq,price_level
75%,0.18000000000000327,5m,2f-3
max,2.6400000000000006,5m,2f-3
count,56711.0,5m,2f-2
mean,0.0820835464019326,5m,2f-2
std,0.07713495241749872,5m,2f-2
min,0.0,5m,2f-2
25%,0.03999999999999915,5m,2f-2
50%,0.060000000000002274,5m,2f-2
75%,0.10000000000000142,5m,2f-2
max,3.9800000000000004,5m,2f-2
count,35771.0,5m,2f-1
mean,0.04812557658438399,5m,2f-1
std,0.046135843683697476,5m,2f-1
min,0.0,5m,2f-1
25%,0.020000000000003126,5m,2f-1
50%,0.03999999999999915,5m,2f-1
75%,0.05999999999999872,5m,2f-1
max,1.8100000000000023,5m,2f-1
count,62842.0,1m,2f-3
mean,0.05966551032748798,1m,2f-3
std,0.05247772634042587,1m,2f-3
min,0.0,1m,2f-3
25%,0.030000000000001137,1m,2f-3
50%,0.04999999999999716,1m,2f-3
75%,0.07000000000000028,1m,2f-3
max,2.1499999999999986,1m,2f-3
count,283513.0,1m,2f-2
mean,0.030136536948922973,1m,2f-2
std,0.03432264579771888,1m,2f-2
min,0.0,1m,2f-2
25%,0.010000000000001563,1m,2f-2
50%,0.019999999999999574,1m,2f-2
75%,0.03999999999999915,1m,2f-2
max,2.2900000000000027,1m,2f-2
count,178864.0,1m,2f-1
mean,0.01644702120046515,1m,2f-1
std,0.02081749014525315,1m,2f-1
min,0.0,1m,2f-1
25%,0.0,1m,2f-1
50%,0.010000000000001563,1m,2f-1
75%,0.019999999999999574,1m,2f-1
max,1.2600000000000016,1m,2f-1
