win_rate,reward_risk_ratio,initial_bet_percentage,rebalance_gain_threshold,rebalance_save_ratio,final_balance_median,final_geo_return_median,final_mdd_median,performance_score
0.5,3,0.08,0.2,0.0,79935.82076801376,0.044333054349652956,0.21861487206400004,0.2027906607226353
0.5,3,0.06,0.2,0.0,43475.884470920355,0.03805480111782189,0.18878529776583808,0.20157714381457598
0.5,3,0.06,0.45,0.0,50710.856824942006,0.03963810176983196,0.2026682368,0.19558122375608467
0.5,3,0.04,0.3,0.0,25853.49006849959,0.03272654076115766,0.16765497241600014,0.19520173061108928
0.5,3,0.04,0.3,0.15,9702.802294135563,0.022754170798415796,0.11808173670400016,0.192698476780152
0.5,3,0.04,0.2,0.0,23961.63078511282,0.031949815987502905,0.16583895389694203,0.1926556773106372
0.5,3,0.06,0.45,0.15,19782.503684155352,0.02999346174736839,0.15586705066291554,0.19242977665775865
0.5,3,0.06,0.3,0.0,47353.04998591461,0.038933149263050026,0.2026682367999998,0.19210286662468298
0.5,3,0.04,0.6,0.0,36609.24159564118,0.0362894966205789,0.18999190229730847,0.1910054911908369
0.5,3,0.02,0.3,0.0,19612.407708247592,0.029905401249862296,0.1565929844828283,0.19097535785928946
0.5,3,0.04,0.45,0.0,33231.21537934003,0.03529666283039479,0.18639616000000012,0.18936368018737493
0.5,3,0.08,0.3,0.0,97103.36197460908,0.04634664661292287,0.2453915429895181,0.18886814944108554
0.5,3,0.06,0.45,0.2,14516.846675433284,0.02684214686929054,0.1425658825618578,0.1882788952514219
0.5,3,0.06,0.3,0.15,15514.47241779057,0.027518087073369557,0.1461585249844275,0.18827562111961296
0.5,3,0.06,0.6,0.0,60817.30502849878,0.041510458538191575,0.22168,0.1872539630918061
0.5,3,0.02,0.2,0.0,16959.74200441011,0.028424626716358148,0.15193163907341217,0.18708826475980814
0.5,3,0.08,0.6,0.0,105558.32096309532,0.04721192475767044,0.2528128,0.18674657595529356
0.5,3,0.06,0.9,0.0,70270.43007466683,0.04300136630631801,0.23157084432986288,0.18569421565464597
0.5,3,0.08,0.45,0.15,34256.35612901246,0.03560814404660717,0.19186159041165612,0.18559287437473404
0.5,3,0.08,0.45,0.0,102582.04586868387,0.046915422455958256,0.25281279999999995,0.18557376230933822
0.5,3,0.08,0.6,0.15,40714.78529162696,0.03738064316972589,0.20148931555880267,0.18552171397305045
0.5,3,0.08,0.3,0.15,24636.182964558804,0.032233512240787965,0.17432989875607602,0.18489950645752046
0.5,3,0.02,0.3,0.15,8693.189094101366,0.02164215205484976,0.11752964104306514,0.18414207567365629
0.5,3,0.04,0.45,0.15,15771.720241330117,0.027685404908094235,0.15066833919999995,0.18375064764830332
0.5,3,0.04,0.6,0.15,19037.46179886019,0.02960204497433827,0.1618248694518708,0.18292642579972773
0.5,3,0.06,0.6,0.15,28345.249570132404,0.03366781246118622,0.18432474770584648,0.18265486799914027
0.5,3,0.08,0.6,0.2,29317.943726192123,0.03401317956805394,0.18639616,0.1824778985149369
0.5,3,0.08,0.45,0.2,23553.34883341751,0.03177423779447264,0.17473725800637427,0.18184008469054458
0.5,3,0.04,0.2,0.15,7991.722379224148,0.02079147290876049,0.11443050327795966,0.18169519763673986
0.5,3,0.02,0.6,0.0,28807.716905369925,0.03383345663852655,0.1863961600000001,0.18151369984513915
0.5,3,0.04,0.45,0.2,12293.838959385537,0.025153704363247598,0.1386097399454693,0.18147140578391793
0.5,3,0.08,0.9,0.0,128380.21552530138,0.04924333414941007,0.27136000000000005,0.18146865473691798
0.5,3,0.04,0.6,0.2,15213.364454461553,0.027318716932902554,0.1506683391999999,0.181316904918154
0.5,3,0.06,0.2,0.15,11058.799585673809,0.02407966487756763,0.13333504,0.1805951749635177
0.5,3,0.06,0.9,0.15,37634.72343894535,0.036572990413179185,0.2026682368,0.18045743620531257
0.5,3,0.06,0.6,0.2,21838.83180272708,0.031002449414357258,0.172,0.18024679892068174
0.5,3,0.04,0.6,0.25,12152.260660342043,0.025036142983913545,0.13899418676173037,0.18012366968146334
0.5,3,0.06,0.9,0.2,30215.7019848677,0.034322016620336515,0.19108507105260875,0.1796164212686564
0.5,3,0.04,0.3,0.2,7170.998589289722,0.01969686834440809,0.10997815263949853,0.17909801057463828
0.5,3,0.02,0.2,0.15,6480.530122400363,0.01867523429226059,0.10438848174449179,0.1789012923664446
0.5,3,0.08,0.2,0.15,11882.55489699125,0.024808388355571864,0.138697939986711,0.17886630730022968
0.5,3,0.08,0.9,0.15,62914.81463950699,0.04186016871596787,0.23424257462272,0.1787043571536449
0.5,3,0.02,0.6,0.15,16062.207308133406,0.027871124055806717,0.15641248590855106,0.17818989253902656
0.5,3,0.08,0.6,0.25,21056.81274852488,0.0306302787142817,0.17207673241599997,0.1780036050442439
0.5,3,0.1,0.2,0.0,302570.94796079485,0.05818754567122186,0.32753152,0.17765479692220723
0.5,3,0.1,0.6,0.15,88122.04189776472,0.04534167013408852,0.25547463584815877,0.17748012433233223
0.5,3,0.02,0.45,0.15,12828.674045203225,0.025586030607443577,0.14433875702671145,0.17726375877484246
0.5,3,0.1,0.6,0.0,298775.2094017202,0.05805528776426727,0.32753152,0.17725099484857906
0.5,3,0.1,0.45,0.0,298165.57114021375,0.05803389072368026,0.32753151999999996,0.17718566666096827
0.5,3,0.1,0.45,0.15,65753.67845115095,0.042315529657518836,0.23892653386454182,0.17710686616962104
0.5,3,0.08,0.9,0.2,48866.64037352601,0.03925685031112014,0.22168000000000002,0.17708792092710274
0.5,3,0.04,0.9,0.15,27737.109046170815,0.03344587138713717,0.18892075610380157,0.17703651031737616
0.5,3,0.02,0.45,0.0,25059.491440462123,0.03240764163321863,0.18326749832148592,0.17683245490899585
0.5,3,0.1,0.6,0.2,57605.2593534419,0.04095107537454501,0.23161531587049772,0.17680642241051903
0.5,3,0.06,0.3,0.2,10857.971255187971,0.02389385725383475,0.13520000000000004,0.17672971341593743
0.5,3,0.02,0.6,0.2,13147.51409814196,0.02583534810795529,0.14645724769865276,0.17640197746385033
0.5,3,0.06,0.9,0.25,24233.96432989328,0.032065291503411975,0.18223290756393257,0.175957745129883
0.5,3,0.04,0.2,0.2,5788.987237228732,0.017537727671612546,0.09968237528085545,0.17593609323814702
0.5,3,0.06,0.45,0.25,10693.530927256474,0.02373916450179636,0.13520000000000004,0.17558553625589018
0.5,3,0.1,0.3,0.0,282237.34341139824,0.05745893141812908,0.32753151999999996,0.1754302346782657
0.5,3,0.04,0.9,0.0,46834.708048451765,0.03881993560213359,0.22167999999999993,0.1751169956790581
0.5,3,0.1,0.9,0.15,128496.92027068138,0.04925277366896763,0.282325720069592,0.17445372549418114
0.5,3,0.1,0.3,0.15,31540.943908411722,0.03476169470929491,0.19942174181490804,0.1743124615848494
0.5,3,0.02,0.6,0.25,10771.327786943704,0.023812641170687376,0.13708385070731463,0.17370858090008967
0.5,3,0.02,0.3,0.2,6732.677216195667,0.019060291166266397,0.10987631801231906,0.17347042120695566
0.5,3,0.04,0.9,0.2,23123.21875960069,0.0315859739744444,0.18208847374422732,0.1734649828457127
0.5,3,0.06,0.9,0.3,19270.027736626005,0.029725831072644815,0.17200000000000004,0.17282459925956284
0.5,3,0.02,0.45,0.2,10305.57514514694,0.023364666648387433,0.13519999999999996,0.172815581718842
0.5,3,0.04,0.9,0.25,19226.52854756752,0.029702790947718327,0.17200000000000007,0.1726906450448739
0.5,3,0.02,0.9,0.0,37817.311730971254,0.03662266356660271,0.21210863152279508,0.17265993987928263
0.5,3,0.12,0.2,0.0,1210843.0094543356,0.07281693918383936,0.42291712000000004,0.17217779971602792
0.5,3,0.08,0.9,0.25,37544.64839681685,0.03654839753563521,0.2126166614674138,0.17189808777632754
0.5,3,0.1,0.9,0.0,322937.26973900525,0.05887026854081656,0.3424752639999999,0.17189641042459808
0.5,3,0.12,0.9,0.25,100120.84677815686,0.046663726549856954,0.2719828222032875,0.17156865338715835
0.5,3,0.12,0.9,0.15,239146.93682610145,0.05572580440467134,0.32501089379130055,0.17145826638184808
0.5,3,0.12,0.6,0.2,127935.00717227606,0.049207245825480195,0.2870374400000001,0.17143145446628907
0.5,3,0.1,0.9,0.2,92774.45627825058,0.04587429509378105,0.2677565439999999,0.17132838065679945
0.5,3,0.02,0.9,0.2,19697.503254804884,0.02994955023428314,0.17505244019793958,0.17108901881297883
0.5,3,0.12,0.6,0.15,213012.43667560504,0.05451682763166532,0.31887999999999994,0.17096345845354155
0.5,3,0.12,0.9,0.2,155987.26500625478,0.05126874787379243,0.30058253920659617,0.1705646243095792
0.5,3,0.02,0.9,0.15,23323.282097133044,0.03167396730704897,0.1860040200487759,0.1702864663825174
0.5,3,0.1,0.45,0.2,39303.3173638427,0.03701831781828824,0.2174748568470492,0.170218839800517
0.5,3,0.06,0.6,0.25,16766.283774019343,0.028307815853777618,0.16645774677852299,0.1700600687058561
0.5,3,0.12,0.45,0.15,153815.433785863,0.05112281933921414,0.3007312856205684,0.1699950147644952
0.5,3,0.12,0.6,0.0,896169.5369895279,0.06962510076817141,0.4109674240000001,0.16941756621607895
0.5,3,0.08,0.3,0.2,15813.118460358093,0.027712078265841766,0.16387428796492676,0.16910571273861372
0.5,3,0.1,0.9,0.25,66149.58729238284,0.04237748256502716,0.2507766857142857,0.16898493751252688
0.5,3,0.1,0.6,0.25,37460.61870823016,0.03652540247477609,0.21622481458088327,0.16892326880045966
0.5,3,0.04,0.3,0.25,5420.845675452544,0.01687598399169088,0.10008340479999996,0.16861920340754522
0.5,3,0.04,0.6,0.3,9720.342554154175,0.022772460236438752,0.13519999999999996,0.1684353567783932
0.5,3,0.06,0.2,0.2,7384.592824922605,0.01999323794886554,0.11877915305215961,0.16832278590238717
0.5,3,0.04,0.45,0.25,9623.389342959239,0.02267095424770138,0.1351183132898856,0.16778594770542057
0.5,3,0.06,0.6,0.3,12905.497912489021,0.02564665966436319,0.15300569993052168,0.16761898201184058
0.5,3,0.12,0.3,0.0,968957.0166273895,0.0704524275982612,0.42291712,0.16658684235403193
0.5,3,0.12,0.45,0.0,961487.8321218481,0.07037041561555668,0.4229171199999999,0.16639292260279437
0.5,3,0.02,0.3,0.25,5298.354665401919,0.016645899044246626,0.10008340479999978,0.16632027135278538
0.5,3,0.12,0.9,0.0,786701.4097470029,0.06824627089983148,0.4109674239999999,0.16606248309314048
0.5,3,0.02,0.9,0.25,16576.65361709176,0.028192013994106202,0.1705707839034219,0.16528043870671705
0.5,3,0.08,0.45,0.25,16331.728686305192,0.028040488634218375,0.16979200000000003,0.16514611191468603
0.5,3,0.12,0.45,0.2,81447.79787013652,0.044526824289936484,0.2699527911925522,0.1649430038979532
0.5,3,0.08,0.9,0.3,28712.502163363715,0.033799569402945484,0.20493432165737335,0.16492878854843301
0.5,3,0.1,0.9,0.3,46709.61333961708,0.0387924272284107,0.2355891899026923,0.16466132102425207
0.5,3,0.12,0.9,0.3,63806.66666736664,0.04200537922704661,0.2552313698247228,0.16457765068570265
0.5,3,0.02,0.45,0.25,8265.399168061449,0.0211318445695573,0.1290141948834186,0.16379472498086525
0.5,3,0.12,0.3,0.15,49979.73409661647,0.03948862675159248,0.2411311561894555,0.16376409990157587
0.5,3,0.04,0.9,0.3,15860.771852953287,0.027742696440489212,0.16979200000000005,0.16339224722300935
0.5,3,0.12,0.6,0.25,75947.87367065117,0.0438040233840119,0.2682802432189174,0.16327711224067923
0.5,3,0.1,0.2,0.15,21213.19055507344,0.03070578311132044,0.18812027100920795,0.16322421260926995
0.5,3,0.02,0.2,0.2,4903.990344645777,0.015867636547717945,0.09759999999999991,0.16257824331678236
0.5,3,0.12,0.2,0.15,43252.98293053175,0.03800197262712546,0.2350948538845331,0.16164527636062223
0.5,3,0.02,0.6,0.3,8843.504919299572,0.021815577133804998,0.1351999999999999,0.16135781903701932
0.5,3,0.02,0.45,0.3,6702.8641732713295,0.019015514597898076,0.118081736704,0.16103688113569156
0.5,3,0.08,0.6,0.3,15163.66506752566,0.02728543466567368,0.16979200000000003,0.1606991770264422
0.5,3,0.1,0.3,0.2,15797.756594735947,0.027702188512243153,0.17252154761994357,0.1605723394811511
