hour,vol,freq,holiday_filter_type
22,4.824581673306771,1h,exclude
23,4.336160000000001,1h,exclude
0,4.702086956521741,1h,only
1,4.86695652173914,1h,only
2,4.230173913043482,1h,only
3,3.7977391304347776,1h,only
4,3.8316521739130436,1h,only
5,3.851391304347831,1h,only
6,3.6392173913043497,1h,only
7,4.201043478260865,1h,only
8,3.990434782608694,1h,only
9,3.8199130434782615,1h,only
10,3.865826086956515,1h,only
11,3.9090434782608763,1h,only
12,4.070782608695662,1h,only
13,4.329478260869559,1h,only
14,4.899999999999996,1h,only
15,4.951826086956526,1h,only
16,4.994347826086956,1h,only
17,4.872956521739133,1h,only
18,3.9607826086956526,1h,only
19,4.14086956521739,1h,only
20,4.522608695652175,1h,only
21,4.293478260869564,1h,only
22,4.779043478260872,1h,only
23,4.317565217391301,1h,only
0,4.007978142076503,30m,include
1,4.229986338797816,30m,include
2,3.847909836065576,30m,include
3,3.1647540983606532,30m,include
4,3.107773224043718,30m,include
5,3.1245218579234972,30m,include
6,3.1727185792349717,30m,include
7,3.3634153005464467,30m,include
8,3.536748633879778,30m,include
9,3.2443032786885246,30m,include
10,3.239398907103824,30m,include
11,3.123169398907105,30m,include
12,3.6304918032786917,30m,include
13,4.263415300546447,30m,include
14,4.8979098360655735,30m,include
15,4.521871584699455,30m,include
16,4.324002732240438,30m,include
17,3.864371584699454,30m,include
18,3.534139344262296,30m,include
19,3.3858333333333337,30m,include
20,3.5297950819672135,30m,include
21,3.3401229508196737,30m,include
22,3.336092896174862,30m,include
23,3.0853351573187404,30m,include
0,4.399760956175299,30m,exclude
1,4.660996015936255,30m,exclude
2,4.274701195219125,30m,exclude
3,3.383924302788843,30m,exclude
4,3.3374701195219147,30m,exclude
5,3.355079681274899,30m,exclude
6,3.467749003984062,30m,exclude
7,3.5889243027888424,30m,exclude
8,3.903087649402386,30m,exclude
9,3.5161354581673296,30m,exclude
10,3.483047808764941,30m,exclude
11,3.307828685258964,30m,exclude
12,4.0085458167330685,30m,exclude
13,4.790239043824701,30m,exclude
14,5.57621513944223,30m,exclude
15,5.043087649402392,30m,exclude
16,4.659123505976096,30m,exclude
17,4.056015936254981,30m,exclude
18,3.8610956175298807,30m,exclude
19,3.6428685258964166,30m,exclude
20,3.6935657370517943,30m,exclude
21,3.4952788844621536,30m,exclude
22,3.412629482071712,30m,exclude
23,3.0679441117764474,30m,exclude
0,3.152869565217393,30m,only
1,3.289260869565222,30m,only
2,2.91639130434783,30m,only
3,2.6863913043478225,30m,only
4,2.6064347826086975,30m,only
5,2.6213043478260905,30m,only
6,2.5287826086956535,30m,only
7,2.8712173913043473,30m,only
8,2.737173913043477,30m,only
9,2.6510000000000025,30m,only
10,2.707608695652171,30m,only
11,2.7201304347826123,30m,only
12,2.805347826086964,30m,only
13,3.1135652173912995,30m,only
14,3.4174347826086957,30m,only
15,3.3842608695652174,30m,only
16,3.592565217391305,30m,only
17,3.4460869565217376,30m,only
18,2.820521739130436,30m,only
19,2.8248260869565187,30m,only
20,3.172347826086955,30m,only
21,3.001478260869567,30m,only
22,3.169043478260867,30m,only
23,3.1232173913043435,30m,only
0,2.77801912568306,15m,include
1,2.9162500000000002,15m,include
2,2.630840163934427,15m,include
3,2.2153893442622943,15m,include
4,2.160669398907106,15m,include
5,2.148374316939891,15m,include
6,2.1947267759562834,15m,include
7,2.3137841530054626,15m,include
8,2.4463183060109275,15m,include
9,2.269036885245902,15m,include
10,2.2474453551912554,15m,include
11,2.195191256830601,15m,include
12,2.548080601092897,15m,include
13,2.9706010928961755,15m,include
14,3.402602459016394,15m,include
15,3.156550546448088,15m,include
16,2.990450819672133,15m,include
17,2.73254781420765,15m,include
18,2.492185792349728,15m,include
19,2.354979508196722,15m,include
20,2.432704918032786,15m,include
21,2.284412568306012,15m,include
22,2.305607923497268,15m,include
23,2.149617224880383,15m,include
0,3.0434163346613547,15m,exclude
1,3.19711155378486,15m,exclude
2,2.914790836653386,15m,exclude
3,2.369601593625498,15m,exclude
4,2.323964143426297,15m,exclude
5,2.302041832669323,15m,exclude
6,2.399013944223106,15m,exclude
7,2.479631474103583,15m,exclude
8,2.684810756972109,15m,exclude
9,2.461185258964143,15m,exclude
10,2.424900398406374,15m,exclude
11,2.3118824701195213,15m,exclude
12,2.791942231075697,15m,exclude
13,3.354930278884463,15m,exclude
14,3.8555577689243035,15m,exclude
15,3.526972111553785,15m,exclude
16,3.2168824701195224,15m,exclude
17,2.8514840637450196,15m,exclude
18,2.7186752988047815,15m,exclude
19,2.5500697211155408,15m,exclude
20,2.56300796812749,15m,exclude
21,2.405806772908367,15m,exclude
22,2.3379681274900403,15m,exclude
23,2.13838484546361,15m,exclude
0,2.1987608695652163,15m,only
1,2.303239130434785,15m,only
2,2.011086956521741,15m,only
3,1.8788043478260852,15m,only
4,1.804260869565219,15m,only
5,1.8129782608695666,15m,only
6,1.7488478260869578,15m,only
7,1.9518043478260862,15m,only
8,1.9257826086956538,15m,only
9,1.8496521739130454,15m,only
10,1.8601304347826058,15m,only
11,1.9405000000000012,15m,only
12,2.015826086956525,15m,only
13,2.131760869565217,15m,only
14,2.4139782608695657,15m,only
15,2.348065217391304,15m,only
16,2.496239130434787,15m,only
17,2.472956521739131,15m,only
18,1.9978478260869585,15m,only
19,1.9291739130434755,15m,only
20,2.1483043478260844,15m,only
21,2.0194565217391336,15m,only
22,2.2349782608695645,15m,only
23,2.174108695652171,15m,only
0,1.5153051001821498,5m,include
1,1.5732855191256832,5m,include
2,1.4179075591985433,5m,include
3,1.212324681238615,5m,include
4,1.1775113843351555,5m,include
5,1.1703483606557392,5m,include
6,1.1897290528233149,5m,include
7,1.2473474499089243,5m,include
8,1.330598816029144,5m,include
9,1.2508697632058297,5m,include
10,1.235694444444444,5m,include
11,1.208258196721311,5m,include
12,1.391518670309654,5m,include
13,1.6415072859744986,5m,include
14,1.871803278688524,5m,include
15,1.7436020036429873,5m,include
16,1.6706329690346091,5m,include
17,1.4945765027322402,5m,include
18,1.40283014571949,5m,include
19,1.3132012750455375,5m,include
20,1.3440095628415296,5m,include
21,1.2305009107468134,5m,include
22,1.2412591074681234,5m,include
23,1.1794006381039202,5m,include
0,1.6603486055776902,5m,exclude
1,1.7248041168658697,5m,exclude
2,1.5707470119521914,5m,exclude
3,1.2981673306772903,5m,exclude
4,1.266580345285525,5m,exclude
5,1.2609495351925653,5m,exclude
6,1.2973671978751657,5m,exclude
7,1.3458466135458151,5m,exclude
8,1.4591932270916332,5m,exclude
9,1.3609063745019927,5m,exclude
10,1.338459495351925,5m,exclude
11,1.2800896414342622,5m,exclude
12,1.527692563081009,5m,exclude
13,1.8568891102257632,5m,exclude
14,2.1318592297476755,5m,exclude
15,1.9496713147410352,5m,exclude
16,1.8051726427622843,5m,exclude
17,1.5651693227091634,5m,exclude
18,1.5197841965471448,5m,exclude
19,1.4250796812749014,5m,exclude
20,1.4242330677290838,5m,exclude
21,1.2989873837981412,5m,exclude
22,1.2575332005312088,5m,exclude
23,1.172696143617022,5m,exclude
0,1.1987318840579704,5m,only
1,1.2425797101449287,5m,only
2,1.0843188405797113,5m,only
3,1.0249637681159407,5m,only
4,0.9831086956521747,5m,only
5,0.9726014492753621,5m,only
6,0.954797101449275,5m,only
7,1.0323623188405802,5m,only
8,1.0499275362318852,5m,only
9,1.010702898550726,5m,only
10,1.0113985507246377,5m,only
11,1.051478260869566,5m,only
12,1.094304347826088,5m,only
13,1.1714130434782606,5m,only
14,1.3042028985507244,5m,only
15,1.2938333333333354,5m,only
16,1.3769855072463786,5m,only
17,1.3404999999999998,5m,only
18,1.147565217391305,5m,only
19,1.0690144927536216,5m,only
20,1.1689130434782598,5m,only
21,1.0810217391304366,5m,only
22,1.205739130434781,5m,only
23,1.1940144927536227,5m,only
0,0.6005273224043718,1m,include
1,0.6225314207650277,1m,include
2,0.5661657559198545,1m,include
3,0.4904367030965383,1m,include
4,0.46787386156648486,1m,include
5,0.46295765027322444,1m,include
6,0.4723602003642991,1m,include
7,0.5028465391621124,1m,include
8,0.5311420765027328,1m,include
9,0.5053642987249546,1m,include
10,0.49848724954462614,1m,include
11,0.48436612021857883,1m,include
12,0.5608606557377048,1m,include
13,0.6682363387978142,1m,include
14,0.7583365209471766,1m,include
15,0.7122244990892532,1m,include
16,0.6846716757741351,1m,include
17,0.606883879781421,1m,include
18,0.5702677595628421,1m,include
19,0.5346848816029147,1m,include
20,0.5376921675774136,1m,include
21,0.47280282331511864,1m,include
22,0.48138433515482676,1m,include
23,0.46883409298085754,1m,include
0,0.6580378486055782,1m,exclude
1,0.6842270916334665,1m,exclude
2,0.62862416998672,1m,exclude
3,0.5286586985391759,1m,exclude
4,0.5044907038512618,1m,exclude
5,0.5007144754316075,1m,exclude
6,0.5186314741035857,1m,exclude
7,0.5445159362549798,1m,exclude
8,0.5854077025232409,1m,exclude
9,0.5524342629482073,1m,exclude
10,0.5432197875165999,1m,exclude
11,0.5164203187250993,1m,exclude
12,0.6171241699867194,1m,exclude
13,0.7607702523240373,1m,exclude
14,0.8659442231075699,1m,exclude
15,0.8004515272244356,1m,exclude
16,0.7435405046480749,1m,exclude
17,0.6378565737051798,1m,exclude
18,0.6185013280212489,1m,exclude
19,0.5809681274900408,1m,exclude
20,0.5707682602921644,1m,exclude
21,0.4989608233731743,1m,exclude
