hour,vol,freq,holiday_filter_type
21,8.219869477911642,5m,exclude
22,7.519999999999994,5m,exclude
23,6.3597824631860735,5m,exclude
0,6.445521739130424,5m,only
1,6.33559420289855,5m,only
2,5.687152173913053,5m,only
3,5.36451449275361,5m,only
4,4.979521739130428,5m,only
5,4.9141449275362215,5m,only
6,4.710579710144924,5m,only
7,4.910855072463761,5m,only
8,5.201318840579712,5m,only
9,5.3929420289855035,5m,only
10,5.310231884057971,5m,only
11,5.349731884057962,5m,only
12,5.769673913043478,5m,only
13,6.337427536231883,5m,only
14,7.219217391304354,5m,only
15,7.206449275362312,5m,only
16,7.6479057971014415,5m,only
17,7.491231884057969,5m,only
18,6.415804347826082,5m,only
19,5.887101449275351,5m,only
20,6.35715942028985,5m,only
21,6.713485507246372,5m,only
22,7.480572463768115,5m,only
23,6.851014492753615,5m,only
0,3.1863324200913206,1m,include
1,3.3321621004566158,1m,include
2,3.0192438356164373,1m,include
3,2.5593589041095863,1m,include
4,2.3515369863013693,1m,include
5,2.2846981735159826,1m,include
6,2.353196803652967,1m,include
7,2.451111415525115,1m,include
8,2.6465945205479438,1m,include
9,2.5392438356164373,1m,include
10,2.5268013698630143,1m,include
11,2.4845534246575336,1m,include
12,2.987329680365295,1m,include
13,3.675214155251139,1m,include
14,4.480391780821913,1m,include
15,4.210773972602735,1m,include
16,3.8415899543378957,1m,include
17,3.528058896154368,1m,include
18,3.3976620879120847,1m,include
19,3.2497870879120834,1m,include
20,3.2151817765567734,1m,include
21,2.928629120879121,1m,include
22,2.8657788461538454,1m,include
23,2.5664258241758175,1m,include
0,3.489828666666662,1m,exclude
1,3.714755999999993,1m,exclude
2,3.3971826666666627,1m,exclude
3,2.7903299999999973,1m,exclude
4,2.566440666666666,1m,exclude
5,2.48553,1m,exclude
6,2.619494666666665,1m,exclude
7,2.7286573333333344,1m,exclude
8,2.9482173333333312,1m,exclude
9,2.7705286666666655,1m,exclude
10,2.755976666666665,1m,exclude
11,2.6797986666666658,1m,exclude
12,3.3291773333333308,1m,exclude
13,4.222896666666664,1m,exclude
14,5.22988666666666,1m,exclude
15,4.834131999999994,1m,exclude
16,4.231540666666663,1m,exclude
17,3.788795510722152,1m,exclude
18,3.8048567603748276,1m,exclude
19,3.682526773761709,1m,exclude
20,3.5535602409638516,1m,exclude
21,3.134095046854082,1m,exclude
22,2.8965066934404264,1m,exclude
23,2.503317938420343,1m,exclude
0,2.5265579710144905,1m,only
1,2.5004362318840574,1m,only
2,2.197637681159426,1m,only
3,2.057247826086954,1m,only
4,1.8843550724637685,1m,only
5,1.848107246376814,1m,only
6,1.774288405797101,1m,only
7,1.847750724637682,1m,only
8,1.9908927536231886,1m,only
9,2.0364507246376795,1m,only
10,2.0285942028985557,1m,only
11,2.060107246376812,1m,only
12,2.244182608695653,1m,only
13,2.4846,1m,only
14,2.8510550724637653,1m,only
15,2.855647826086953,1m,only
16,2.9938710144927496,1m,only
17,2.962411594202897,1m,only
18,2.515997101449276,1m,only
19,2.312811594202894,1m,only
20,2.482518840579708,1m,only
21,2.4837507246376838,1m,only
22,2.7992463768115967,1m,only
23,2.7030681159420205,1m,only
