hour,vol,freq,holiday_filter_type
18,4.260000000000006,1h,only
19,4.013043478260867,1h,only
20,4.24260869565217,1h,only
21,4.435652173913046,1h,only
22,5.368695652173912,1h,only
23,4.532173913043478,1h,only
0,4.389589041095888,30m,include
1,4.545342465753425,30m,include
2,4.046849315068493,30m,include
3,3.483972602739726,30m,include
4,3.3490410958904113,30m,include
5,3.324109589041096,30m,include
6,3.3371232876712322,30m,include
7,3.3975342465753404,30m,include
8,3.435342465753425,30m,include
9,3.3994520547945175,30m,include
10,3.3043835616438346,30m,include
11,3.1953424657534244,30m,include
12,3.934931506849315,30m,include
13,4.577808219178081,30m,include
14,4.995753424657535,30m,include
15,4.5757534246575355,30m,include
16,4.371506849315067,30m,include
17,4.0239726027397245,30m,include
18,3.6059065934065937,30m,include
19,3.511263736263735,30m,include
20,3.6494505494505485,30m,include
21,3.5217032967032975,30m,include
22,3.564835164835166,30m,include
23,3.2313186813186823,30m,include
0,4.688599999999998,30m,exclude
1,4.872000000000001,30m,exclude
2,4.315399999999999,30m,exclude
3,3.7117999999999998,30m,exclude
4,3.5756,30m,exclude
5,3.5421999999999993,30m,exclude
6,3.6859999999999986,30m,exclude
7,3.698599999999998,30m,exclude
8,3.7536000000000014,30m,exclude
9,3.658799999999997,30m,exclude
10,3.5179999999999993,30m,exclude
11,3.3989999999999996,30m,exclude
12,4.1564,30m,exclude
13,5.093799999999999,30m,exclude
14,5.6610000000000005,30m,exclude
15,5.0440000000000005,30m,exclude
16,4.5872,30m,exclude
17,4.193799999999997,30m,exclude
18,3.893975903614458,30m,exclude
19,3.8510040160642554,30m,exclude
20,3.90863453815261,30m,exclude
21,3.715461847389558,30m,exclude
22,3.5767068273092386,30m,exclude
23,3.2491967871485956,30m,exclude
0,3.739565217391302,30m,only
1,3.8352173913043486,30m,only
2,3.4630434782608717,30m,only
3,2.9886956521739143,30m,only
4,2.856521739130436,30m,only
5,2.850000000000001,30m,only
6,2.5786956521739146,30m,only
7,2.743043478260867,30m,only
8,2.7434782608695643,30m,only
9,2.8356521739130387,30m,only
10,2.839999999999998,30m,only
11,2.7526086956521736,30m,only
12,3.453478260869567,30m,only
13,3.4560869565217374,30m,only
14,3.549565217391304,30m,only
15,3.5578260869565224,30m,only
16,3.9026086956521717,30m,only
17,3.6547826086956556,30m,only
18,2.9821739130434795,30m,only
19,2.7756521739130413,30m,only
20,3.0882608695652154,30m,only
21,3.1021739130434804,30m,only
22,3.5391304347826096,30m,only
23,3.1926086956521735,30m,only
0,3.0734931506849303,15m,include
1,3.1275342465753417,15m,include
2,2.7904109589041095,15m,include
3,2.4480821917808226,15m,include
4,2.3281506849315075,15m,include
5,2.3100684931506854,15m,include
6,2.3119863013698625,15m,include
7,2.345821917808218,15m,include
8,2.3843150684931502,15m,include
9,2.3762328767123266,15m,include
10,2.2982876712328766,15m,include
11,2.2433561643835604,15m,include
12,2.7206849315068493,15m,include
13,3.15972602739726,15m,include
14,3.4821917808219176,15m,include
15,3.1919863013698633,15m,include
16,3.0676027397260275,15m,include
17,2.8106922549691564,15m,include
18,2.561263736263736,15m,include
19,2.4358516483516475,15m,include
20,2.519780219780219,15m,include
21,2.394574175824177,15m,include
22,2.447046703296704,15m,include
23,2.255700549450549,15m,include
0,3.280899999999999,15m,exclude
1,3.3303999999999996,15m,exclude
2,2.9658,15m,exclude
3,2.5908,15m,exclude
4,2.4929,15m,exclude
5,2.466300000000001,15m,exclude
6,2.539299999999999,15m,exclude
7,2.552899999999999,15m,exclude
8,2.5938,15m,exclude
9,2.5477999999999983,15m,exclude
10,2.4528999999999996,15m,exclude
11,2.3794999999999993,15m,exclude
12,2.8790999999999998,15m,exclude
13,3.5202999999999998,15m,exclude
14,3.9346,15m,exclude
15,3.5217,15m,exclude
16,3.2473000000000005,15m,exclude
17,2.9341341341341325,15m,exclude
18,2.7757028112449804,15m,exclude
19,2.6620481927710835,15m,exclude
20,2.707530120481927,15m,exclude
21,2.529618473895583,15m,exclude
22,2.4440763052208845,15m,exclude
