hour,vol,freq,holiday_filter_type
3,0.13033561643835617,15m,include
4,0.12669178082191776,15m,include
5,0.12186986301369868,15m,include
6,0.12652739726027398,15m,include
7,0.12706164383561647,15m,include
8,0.13690410958904106,15m,include
9,0.12732191780821916,15m,include
10,0.1277945205479452,15m,include
11,0.12818493150684934,15m,include
12,0.15344520547945203,15m,include
13,0.17391780821917807,15m,include
14,0.19097945205479455,15m,include
15,0.1817054794520548,15m,include
16,0.16941780821917815,15m,include
17,0.1545990404386566,15m,include
18,0.14559065934065937,15m,include
19,0.13473214285714274,15m,include
20,0.1408653846153845,15m,include
21,0.13578296703296702,15m,include
22,0.13423763736263733,15m,include
23,0.12070054945054944,15m,include
0,0.1827699999999999,15m,exclude
1,0.18422999999999992,15m,exclude
2,0.16124000000000008,15m,exclude
3,0.13437999999999997,15m,exclude
4,0.13379999999999997,15m,exclude
5,0.12673000000000004,15m,exclude
6,0.13541999999999998,15m,exclude
7,0.1368,15m,exclude
8,0.14665999999999996,15m,exclude
9,0.13426000000000005,15m,exclude
10,0.13636999999999996,15m,exclude
11,0.13227,15m,exclude
12,0.16332,15m,exclude
13,0.19275999999999996,15m,exclude
14,0.21450999999999998,15m,exclude
15,0.19574,15m,exclude
16,0.17807000000000006,15m,exclude
17,0.1596396396396396,15m,exclude
18,0.15795180722891564,15m,exclude
19,0.1452008032128513,15m,exclude
20,0.14721887550200796,15m,exclude
21,0.1425903614457831,15m,exclude
22,0.13404618473895583,15m,exclude
23,0.11887550200803211,15m,exclude
0,0.1588478260869564,15m,only
1,0.14354347826086955,15m,only
2,0.130804347826087,15m,only
3,0.12154347826086966,15m,only
4,0.11123913043478245,15m,only
5,0.11130434782608703,15m,only
6,0.10719565217391312,15m,only
7,0.1058913043478261,15m,only
8,0.11569565217391298,15m,only
9,0.11223913043478254,15m,only
10,0.10915217391304356,15m,only
11,0.11930434782608698,15m,only
12,0.1319782608695652,15m,only
13,0.13295652173913053,15m,only
14,0.13982608695652188,15m,only
15,0.15119565217391306,15m,only
16,0.15060869565217405,15m,only
17,0.14365217391304358,15m,only
18,0.1188260869565219,15m,only
19,0.11206521739130425,15m,only
20,0.12710869565217375,15m,only
21,0.12104347826086954,15m,only
22,0.13465217391304343,15m,only
23,0.12465217391304348,15m,only
0,0.09406621004566203,5m,include
1,0.0911324200913242,5m,include
2,0.08084474885844752,5m,include
3,0.07076484018264839,5m,include
4,0.06837442922374429,5m,include
5,0.06495662100456623,5m,include
6,0.0673675799086758,5m,include
7,0.06913013698630138,5m,include
8,0.07382876712328768,5m,include
9,0.06992922374429222,5m,include
10,0.06925799086757987,5m,include
11,0.069554794520548,5m,include
12,0.08241324200913243,5m,include
13,0.09455936073059355,5m,include
14,0.10496118721461188,5m,include
15,0.10020776255707764,5m,include
16,0.09426940639269406,5m,include
17,0.0838459780621572,5m,include
18,0.08013736263736265,5m,include
19,0.07350732600732593,5m,include
20,0.07652930402930401,5m,include
21,0.07152701465201465,5m,include
22,0.07106684981684983,5m,include
23,0.06534111721611718,5m,include
0,0.09803333333333326,5m,exclude
1,0.09761333333333336,5m,exclude
2,0.08583666666666669,5m,exclude
3,0.07322999999999996,5m,exclude
4,0.07230333333333334,5m,exclude
5,0.06805666666666668,5m,exclude
6,0.07141666666666664,5m,exclude
7,0.07428000000000001,5m,exclude
8,0.07939666666666664,5m,exclude
9,0.07433999999999999,5m,exclude
10,0.07408666666666663,5m,exclude
11,0.07238333333333337,5m,exclude
12,0.08814999999999999,5m,exclude
13,0.1048266666666666,5m,exclude
14,0.11799999999999997,5m,exclude
15,0.10853666666666668,5m,exclude
16,0.09902666666666667,5m,exclude
17,0.08650200267022692,5m,exclude
18,0.08676706827309234,5m,exclude
19,0.07915327978580983,5m,exclude
20,0.08079317269076303,5m,exclude
21,0.07544846050870148,5m,exclude
22,0.07136546184738957,5m,exclude
23,0.06440093708165993,5m,exclude
0,0.08544202898550717,5m,only
1,0.07704347826086952,5m,only
2,0.06999275362318844,5m,only
3,0.0654057971014493,5m,only
4,0.05983333333333329,5m,only
5,0.05821739130434789,5m,only
6,0.058565217391304394,5m,only
7,0.057934782608695674,5m,only
8,0.06172463768115947,5m,only
