hour,vol,freq,holiday_filter_type
12,298.46332,15m,exclude
13,401.6173000000002,15m,exclude
14,524.4561,15m,exclude
15,473.29273,15m,exclude
16,403.38786000000005,15m,exclude
17,371.8084052156471,15m,exclude
18,363.4198694779118,15m,exclude
19,362.3608232931726,15m,exclude
20,349.04631526104407,15m,exclude
21,302.9846586345381,15m,exclude
22,279.5746485943775,15m,exclude
23,232.45309236947801,15m,exclude
0,200.7354130434779,15m,only
1,208.45115217391304,15m,only
2,188.38308695652174,15m,only
3,172.67291304347816,15m,only
4,159.84684782608687,15m,only
5,153.34986956521772,15m,only
6,154.38902173913036,15m,only
7,155.1098478260867,15m,only
8,154.90510869565205,15m,only
9,161.60500000000005,15m,only
10,160.3085434782608,15m,only
11,165.56423913043508,15m,only
12,185.45704347826086,15m,only
13,198.07032608695658,15m,only
14,233.1838043478262,15m,only
15,231.11826086956543,15m,only
16,239.80267391304312,15m,only
17,253.80250000000015,15m,only
18,199.686152173913,15m,only
19,194.50252173913057,15m,only
20,210.96400000000014,15m,only
21,221.31443478260908,15m,only
22,262.9199999999999,15m,only
23,253.8722391304347,15m,only
0,151.8317283105022,5m,include
1,156.57223744292236,5m,include
2,141.45257305936087,5m,include
3,120.17811187214606,5m,include
4,110.06230593607305,5m,include
5,105.01861415525123,5m,include
6,110.63585616438351,5m,include
7,114.57728995433781,5m,include
8,119.11812785388136,5m,include
9,115.52717579908683,5m,include
10,113.40690639269414,5m,include
11,115.50453424657543,5m,include
12,142.38682876712323,5m,include
13,183.64423972602748,5m,include
14,236.00373059360726,5m,include
15,220.7034269406393,5m,include
16,194.62187899543383,5m,include
17,181.05913501144178,5m,include
18,173.56065018315027,5m,include
19,169.94497710622713,5m,include
20,167.93660485347988,5m,include
21,149.03904990842486,5m,include
22,145.64497023809514,5m,include
23,129.72459706959705,5m,include
0,171.57111666666665,5m,exclude
1,178.25529999999992,5m,exclude
2,161.3564800000002,5m,exclude
3,133.40228999999997,5m,exclude
4,121.99808000000003,5m,exclude
5,116.87644666666674,5m,exclude
6,124.93095000000002,5m,exclude
7,130.05825999999996,5m,exclude
8,136.82271000000011,5m,exclude
9,130.0413966666668,5m,exclude
10,126.93299666666682,5m,exclude
11,128.23791333333344,5m,exclude
12,163.0068033333333,5m,exclude
13,219.12271000000007,5m,exclude
14,287.75926,5m,exclude
15,264.9159833333333,5m,exclude
16,223.70621333333347,5m,exclude
17,202.55174247491658,5m,exclude
18,202.28036479250358,5m,exclude
19,200.5028045515395,5m,exclude
20,192.9063152610442,5m,exclude
21,163.820297858099,5m,exclude
22,148.48754016064242,5m,exclude
23,125.48403949129855,5m,exclude
0,108.92001449275338,5m,only
1,109.4351449275363,5m,only
2,98.18321014492749,5m,only
3,91.42989855072459,5m,only
4,84.11497101449265,5m,only
5,79.24071739130443,5m,only
6,79.55956521739105,5m,only
7,80.92300724637667,5m,only
8,80.62990579710142,5m,only
9,83.97452173913035,5m,only
10,84.00236231884053,5m,only
11,87.82327536231888,5m,only
12,97.56079710144921,5m,only
13,106.51713043478266,5m,only
14,123.49171014492745,5m,only
15,124.58917391304357,5m,only
16,131.3950652173912,5m,only
17,134.4918188405797,5m,only
18,111.37622463768099,5m,only
19,103.7806376811595,5m,only
20,113.8717536231884,5m,only
21,117.03443478260876,5m,only
22,139.49018840579708,5m,only
23,138.9063260869564,5m,only
0,57.87830319634699,1m,include
1,58.94859041095891,1m,include
2,53.65726666666659,1m,include
3,45.16937625570775,1m,include
4,40.67196347031957,1m,include
5,38.521433333333206,1m,include
6,40.104175342465574,1m,include
7,42.563428767123156,1m,include
8,44.69305068493142,1m,include
9,42.68854840182635,1m,include
10,42.06966027397258,1m,include
11,43.1170164383561,1m,include
12,54.25809817351589,1m,include
13,71.4063584474886,1m,include
14,92.6492150684931,1m,include
15,88.3166493150685,1m,include
16,77.05958675799084,1m,include
17,70.54752151226656,1m,include
18,67.96448260073257,1m,include
19,66.37506227106229,1m,include
20,64.65831043956038,1m,include
21,54.61509386446876,1m,include
22,53.59850595238089,1m,include
23,48.800146520146455,1m,include
0,65.90502400000003,1m,exclude
1,67.47535800000001,1m,exclude
2,61.96685533333332,1m,exclude
3,51.084561333333355,1m,exclude
4,45.843026666666645,1m,exclude
5,43.570495333333234,1m,exclude
6,46.09656066666656,1m,exclude
7,49.29562466666658,1m,exclude
