statistic,freq,include_holiday,value
mean,15m,Only Holidays,0.1264719202898551
std,15m,Only Holidays,0.1269577127604252
min,15m,Only Holidays,0.00999999999999801
25%,15m,Only Holidays,0.05999999999999872
50%,15m,Only Holidays,0.08999999999999986
75%,15m,Only Holidays,0.15000000000000213
max,15m,Only Holidays,3.490000000000002
count,5m,True,105044.0
mean,5m,True,0.0786525646395796
std,5m,True,0.08016961280553803
min,5m,True,0.0
25%,5m,True,0.030000000000001137
50%,5m,True,0.05999999999999872
75%,5m,True,0.09999999999999787
max,5m,True,3.9800000000000004
count,5m,False,71924.0
mean,5m,False,0.08350481063344639
std,5m,False,0.08285753678364847
min,5m,False,0.0
25%,5m,False,0.03999999999999915
50%,5m,False,0.05999999999999872
75%,5m,False,0.10000000000000142
max,5m,False,3.9800000000000004
count,5m,Only Holidays,33120.0
mean,5m,Only Holidays,0.06811533816425124
std,5m,Only Holidays,0.07289420419505249
min,5m,Only Holidays,0.0
25%,5m,Only Holidays,0.030000000000001137
50%,5m,Only Holidays,0.04999999999999716
75%,5m,Only Holidays,0.08000000000000185
max,5m,Only Holidays,3.1900000000000013
count,1m,True,525219.0
mean,1m,True,0.029007671085775642
std,1m,True,0.035775189532641624
min,1m,True,0.0
25%,1m,True,0.00999999999999801
50%,1m,True,0.019999999999999574
75%,1m,True,0.03999999999999915
max,1m,True,2.2900000000000027
count,1m,False,359619.0
mean,1m,False,0.031043242987717552
std,1m,False,0.03697096624094249
min,1m,False,0.0
25%,1m,False,0.010000000000001563
50%,1m,False,0.019999999999999574
75%,1m,False,0.03999999999999915
max,1m,False,2.2900000000000027
count,1m,Only Holidays,165600.0
mean,1m,Only Holidays,0.024587198067632852
std,1m,Only Holidays,0.03259490447341493
min,1m,Only Holidays,0.0
25%,1m,Only Holidays,0.00999999999999801
50%,1m,Only Holidays,0.019999999999999574
75%,1m,Only Holidays,0.030000000000001137
max,1m,Only Holidays,1.4199999999999982
