statistic,freq,include_holiday,value
std,4h,Only Holidays,0.03861070989582661
min,4h,Only Holidays,0.010000000000000009
25%,4h,Only Holidays,0.028000000000000025
50%,4h,Only Holidays,0.040999999999999925
75%,4h,Only Holidays,0.06100000000000011
max,4h,Only Holidays,0.4039999999999999
count,1h,True,8754.0
mean,1h,True,0.029092871830020565
std,1h,True,0.023597256507987968
min,1h,True,0.0040000000000000036
25%,1h,True,0.015000000000000124
50%,1h,True,0.02300000000000013
75%,1h,True,0.03500000000000014
max,1h,True,0.605
count,1h,False,5994.0
mean,1h,False,0.030874541207874542
std,1h,False,0.025083713187575376
min,1h,False,0.0050000000000000044
25%,1h,False,0.016999999999999904
50%,1h,False,0.02400000000000002
75%,1h,False,0.037000000000000144
max,1h,False,0.605
count,1h,Only Holidays,2760.0
mean,1h,Only Holidays,0.025223550724637687
std,1h,Only Holidays,0.0194416168520522
min,1h,Only Holidays,0.0040000000000000036
25%,1h,Only Holidays,0.013000000000000123
50%,1h,Only Holidays,0.020000000000000018
75%,1h,Only Holidays,0.030999999999999917
max,1h,Only Holidays,0.31299999999999994
count,30m,True,17508.0
mean,30m,True,0.020259881197167012
std,30m,True,0.01668469767113096
min,30m,True,0.0029999999999998916
25%,30m,True,0.010999999999999899
50%,30m,True,0.016000000000000014
75%,30m,True,0.02499999999999991
max,30m,True,0.5509999999999997
count,30m,False,11988.0
mean,30m,False,0.02147439105772439
std,30m,False,0.01763608173125844
min,30m,False,0.0029999999999998916
25%,30m,False,0.01100000000000012
50%,30m,False,0.016999999999999904
75%,30m,False,0.026000000000000023
max,30m,False,0.5509999999999997
count,30m,Only Holidays,5520.0
mean,30m,Only Holidays,0.01762228260869566
std,30m,Only Holidays,0.01404807227719893
min,30m,Only Holidays,0.0030000000000000027
25%,30m,Only Holidays,0.009000000000000119
50%,30m,Only Holidays,0.014000000000000012
75%,30m,Only Holidays,0.02100000000000013
max,30m,Only Holidays,0.31299999999999994
count,15m,True,35015.0
mean,15m,True,0.014171555047836645
std,15m,True,0.01189398159172971
min,15m,True,0.0010000000000000009
25%,15m,True,0.007000000000000117
50%,15m,True,0.01100000000000012
75%,15m,True,0.017000000000000126
max,15m,True,0.5509999999999997
count,15m,False,23975.0
mean,15m,False,0.014994827945776855
std,15m,False,0.012575281539286831
min,15m,False,0.0019999999999997797
25%,15m,False,0.008000000000000007
