statistic,freq,include_holiday,value
count,1h,Only Holidays,2760.0
mean,1h,Only Holidays,4.284967391304349
std,1h,Only Holidays,3.334133670824791
min,1h,Only Holidays,0.6000000000000227
25%,1h,Only Holidays,2.2999999999999545
50%,1h,Only Holidays,3.2999999999999545
75%,1h,Only Holidays,5.190000000000055
max,1h,Only Holidays,44.5
count,30m,True,17567.0
mean,30m,True,3.619866226447316
std,30m,True,2.865865308805204
min,30m,True,0.1999999999999318
25%,30m,True,1.900000000000091
50%,30m,True,2.8999999999999773
75%,30m,True,4.399999999999977
max,30m,True,65.8599999999999
count,30m,False,12047.0
mean,30m,False,3.9161251763924625
std,30m,False,3.0148068780009014
min,30m,False,0.39999999999997726
25%,30m,False,2.1400000000001
50%,30m,False,3.1000000000000227
75%,30m,False,4.699999999999932
max,30m,False,65.8599999999999
count,30m,Only Holidays,5520.0
mean,30m,Only Holidays,2.973302536231884
std,30m,Only Holidays,2.386051561423479
min,30m,Only Holidays,0.1999999999999318
25%,30m,Only Holidays,1.5699999999999363
50%,30m,Only Holidays,2.300000000000068
75%,30m,Only Holidays,3.560000000000059
max,30m,Only Holidays,44.5
count,15m,True,35135.0
mean,15m,True,2.5140264693325745
std,15m,True,2.0362087550764816
min,15m,True,0.11000000000001364
25%,15m,True,1.3000000000000682
50%,15m,True,2.0
75%,15m,True,3.0399999999999636
max,15m,True,56.77999999999997
count,15m,False,24095.0
mean,15m,False,2.717692052293007
std,15m,False,2.1463959007961684
min,15m,False,0.1999999999999318
25%,15m,False,1.5
50%,15m,False,2.1900000000000546
75%,15m,False,3.269999999999982
max,15m,False,56.77999999999997
count,15m,Only Holidays,11040.0
mean,15m,Only Holidays,2.069522644927537
std,15m,Only Holidays,1.68892773904676
min,15m,Only Holidays,0.11000000000001364
25%,15m,Only Holidays,1.099999999999909
50%,15m,Only Holidays,1.6000000000000227
75%,15m,Only Holidays,2.5
max,15m,Only Holidays,44.5
count,5m,True,105404.0
mean,5m,True,1.3772584531896324
std,5m,True,1.1789637990826662
min,5m,True,0.01999999999998181
25%,5m,True,0.7000000000000455
50%,5m,True,1.1000000000000227
75%,5m,True,1.6999999999999318
max,5m,True,48.799999999999955
count,5m,False,72284.0
mean,5m,False,1.491610453212329
std,5m,False,1.242959623050288
min,5m,False,0.01999999999998181
25%,5m,False,0.7999999999999545
50%,5m,False,1.1999999999999318
75%,5m,False,1.7999999999999545
max,5m,False,48.799999999999955
count,5m,Only Holidays,33120.0
mean,5m,Only Holidays,1.1276865942028989
std,5m,Only Holidays,0.9802519369655692
min,5m,Only Holidays,0.01999999999998181
25%,5m,Only Holidays,0.5899999999999181
50%,5m,Only Holidays,0.8899999999999864
75%,5m,Only Holidays,1.3899999999999864
max,5m,Only Holidays,35.10000000000002
count,1m,True,527020.0
mean,1m,True,0.5525839626579638
std,1m,True,0.5262466337333805
min,1m,True,0.0
25%,1m,True,0.2799999999999727
50%,1m,True,0.40000000000009095
75%,1m,True,0.6999999999999318
max,1m,True,35.81000000000006
count,1m,False,361420.0
mean,1m,False,0.6007746942615243
std,1m,False,0.5565191198999774
min,1m,False,0.009999999999990905
25%,1m,False,0.2999999999999545
50%,1m,False,0.4900000000000091
75%,1m,False,0.7199999999999136
max,1m,False,35.81000000000006
count,1m,Only Holidays,165600.0
mean,1m,Only Holidays,0.4474082729468598
std,1m,Only Holidays,0.4350503734610884
min,1m,Only Holidays,0.0
25%,1m,Only Holidays,0.20000000000004547
50%,1m,Only Holidays,0.30999999999994543
75%,1m,Only Holidays,0.5500000000000682
max,1m,Only Holidays,24.100000000000023
