statistic,freq,include_holiday,value
75%,30m,True,14.019999999999982
max,30m,True,131.57999999999993
count,30m,False,315.0
mean,30m,False,14.659777777777778
std,30m,False,15.389608877922402
min,30m,False,3.400000000000091
25%,30m,False,7.044999999999959
50%,30m,False,10.170000000000073
75%,30m,False,15.845000000000027
max,30m,False,131.57999999999993
count,30m,Only Holidays,96.0
mean,30m,Only Holidays,7.18854166666667
std,30m,Only Holidays,3.0918435921381255
min,30m,Only Holidays,2.5599999999999454
25%,30m,Only Holidays,4.862500000000068
50%,30m,Only Holidays,6.309999999999945
75%,30m,Only Holidays,8.842500000000143
max,30m,Only Holidays,17.559999999999945
count,15m,True,821.0
mean,15m,True,8.89359317904994
std,15m,True,9.946756604610767
min,15m,True,1.8900000000001
25%,15m,True,4.279999999999973
50%,15m,True,6.130000000000109
75%,15m,True,9.629999999999882
max,15m,True,124.40999999999985
count,15m,False,629.0
mean,15m,False,10.083402225755165
std,15m,False,11.013535037013481
min,15m,False,1.8900000000001
25%,15m,False,4.830000000000155
50%,15m,False,6.819999999999936
75%,15m,False,11.1400000000001
max,15m,False,124.40999999999985
count,15m,Only Holidays,192.0
mean,15m,Only Holidays,4.995729166666668
std,15m,Only Holidays,2.449975636075751
min,15m,Only Holidays,2.0
25%,15m,Only Holidays,3.400000000000091
50%,15m,Only Holidays,4.230000000000018
75%,15m,Only Holidays,5.784999999999968
max,15m,Only Holidays,17.559999999999945
count,5m,True,2463.0
mean,5m,True,4.7997279740154335
std,5m,True,5.747221068238681
min,5m,True,0.2799999999999727
25%,5m,True,2.2899999999999636
50%,5m,True,3.3199999999999363
75%,5m,True,5.269999999999982
max,5m,True,98.75999999999976
count,5m,False,1887.0
mean,5m,False,5.446348701642825
std,5m,False,6.372040819966748
min,5m,False,0.4900000000000091
25%,5m,False,2.5699999999999363
50%,5m,False,3.759999999999991
75%,5m,False,5.959999999999923
max,5m,False,98.75999999999976
count,5m,Only Holidays,576.0
mean,5m,Only Holidays,2.681371527777778
std,5m,Only Holidays,1.5437872214801296
min,5m,Only Holidays,0.2799999999999727
25%,5m,Only Holidays,1.740000000000009
50%,5m,Only Holidays,2.3450000000000273
75%,5m,Only Holidays,3.2799999999999727
max,5m,Only Holidays,15.150000000000091
count,1m,True,12313.0
mean,1m,True,1.875065378055716
std,1m,True,2.3761645818236454
min,1m,True,0.009999999999990905
25%,1m,True,0.7799999999999727
50%,1m,True,1.2799999999999727
75%,1m,True,2.130000000000109
max,1m,True,58.460000000000036
count,1m,False,9433.0
mean,1m,False,2.1445043994487465
std,1m,False,2.6243930617869022
min,1m,False,0.009999999999990905
25%,1m,False,0.9099999999998545
50%,1m,False,1.4700000000000273
75%,1m,False,2.4700000000000273
max,1m,False,58.460000000000036
count,1m,Only Holidays,2880.0
mean,1m,Only Holidays,0.9925590277777802
std,1m,Only Holidays,0.7513723093984556
min,1m,Only Holidays,0.009999999999990905
25%,1m,Only Holidays,0.5199999999999818
50%,1m,Only Holidays,0.8399999999999181
75%,1m,Only Holidays,1.2699999999999818
max,1m,Only Holidays,9.589999999999918
