index,volatility,freq
count,0,1w
unique,0,1w
top,,1w
freq,,1w
count,0,1d
unique,0,1d
top,,1d
freq,,1d
count,0,4h
unique,0,4h
top,,4h
freq,,4h
count,0,1h
unique,0,1h
top,,1h
freq,,1h
count,0,30m
unique,0,30m
top,,30m
freq,,30m
count,0,15m
unique,0,15m
top,,15m
freq,,15m
count,0,5m
unique,0,5m
top,,5m
freq,,5m
count,0,1m
unique,0,1m
top,,1m
freq,,1m
