hour,price_level,avg_vol,freq
15,3figures-1,1.2879156118143458,15m
15,3figures-2,2.395483870967743,15m
16,3figures-1,1.2149999999999999,15m
16,3figures-2,2.178695652173913,15m
17,3figures-1,1.1114465937762823,15m
17,3figures-2,1.8884363636363641,15m
18,3figures-1,1.109723386420788,15m
18,3figures-2,1.6371586715867157,15m
19,3figures-1,1.0160420168067223,15m
19,3figures-2,1.7566423357664243,15m
20,3figures-1,1.019310924369748,15m
20,3figures-2,1.9183941605839412,15m
21,3figures-1,0.9767365771812079,15m
21,3figures-2,1.904264705882353,15m
22,3figures-1,0.9570494551550717,15m
22,3figures-2,1.8163468634686348,15m
23,3figures-1,0.8272948073701839,15m
23,3figures-2,1.7347955390334568,15m
0,3figures-1,0.5994750140370576,5m
0,3figures-2,1.0608072289156625,5m
1,3figures-1,0.6230715287517532,5m
1,3figures-2,0.9785489721886341,5m
2,3figures-1,0.5611183281558884,5m
2,3figures-2,0.9492949471210348,5m
3,3figures-1,0.4890112676056337,5m
3,3figures-2,0.8960095011876488,5m
4,3figures-1,0.4653511988716504,5m
4,3figures-2,0.9137780401416764,5m
5,3figures-1,0.4700678541136556,5m
5,3figures-2,0.845461988304093,5m
6,3figures-1,0.48023452952811546,5m
6,3figures-2,0.8189566236811252,5m
7,3figures-1,0.4802798191068397,5m
7,3figures-2,0.7766978922716631,5m
8,3figures-1,0.4984391758396843,5m
8,3figures-2,0.8306949352179032,5m
9,3figures-1,0.47986715658564194,5m
9,3figures-2,0.8277985948477747,5m
10,3figures-1,0.4716306203756404,5m
10,3figures-2,0.8128246013667425,5m
11,3figures-1,0.46540318001135716,5m
11,3figures-2,0.8564137931034482,5m
12,3figures-1,0.5612800226052557,5m
12,3figures-2,0.9388159437280187,5m
13,3figures-1,0.6803720405862458,5m
13,3figures-2,1.0458886255924171,5m
14,3figures-1,0.780454417952314,5m
14,3figures-2,1.2463724304715837,5m
15,3figures-1,0.7195353421571391,5m
15,3figures-2,1.3319024970273488,5m
16,3figures-1,0.681406908171862,5m
16,3figures-2,1.231022864019254,5m
17,3figures-1,0.6185445877734155,5m
17,3figures-2,1.0614164648910414,5m
18,3figures-1,0.6194024015638091,5m
18,3figures-2,0.9382614056720102,5m
19,3figures-1,0.5691846455589802,5m
19,3figures-2,0.9801458080194413,5m
20,3figures-1,0.565910874439462,5m
20,3figures-2,1.0724393203883493,5m
21,3figures-1,0.521174825174825,5m
21,3figures-2,1.0616401468788255,5m
22,3figures-1,0.5198912740451631,5m
22,3figures-2,0.9967701863354036,5m
23,3figures-1,0.458885474860335,5m
23,3figures-2,0.966868811881188,5m
0,3figures-1,0.2414665094604457,1m
0,3figures-2,0.43648107977825973,1m
1,3figures-1,0.2503247882425534,1m
1,3figures-2,0.40173239777401426,1m
2,3figures-1,0.2279459245879431,1m
2,3figures-2,0.3839161168708768,1m
3,3figures-1,0.19844135367982435,1m
3,3figures-2,0.3658224232325635,1m
4,3figures-1,0.18743231046931416,1m
4,3figures-2,0.37183364839319466,1m
5,3figures-1,0.18863808608110397,1m
5,3figures-2,0.34577237672353334,1m
6,3figures-1,0.19213720614828228,1m
6,3figures-2,0.32906191369606,1m
7,3figures-1,0.1945187906188187,1m
7,3figures-2,0.3220984759671743,1m
8,3figures-1,0.2021226495002542,1m
8,3figures-2,0.34729945895083525,1m
9,3figures-1,0.19463821368004516,1m
9,3figures-2,0.34435831381733,1m
10,3figures-1,0.1921309422146314,1m
10,3figures-2,0.33846643913538116,1m
11,3figures-1,0.19050650161830673,1m
11,3figures-2,0.3507472982294781,1m
12,3figures-1,0.22811281297688343,1m
12,3figures-2,0.39259901570189837,1m
13,3figures-1,0.2761874154262517,1m
13,3figures-2,0.4309351325757578,1m
14,3figures-1,0.31767762936356486,1m
14,3figures-2,0.5168107194591982,1m
15,3figures-1,0.2971597433299561,1m
15,3figures-2,0.5582618025751072,1m
16,3figures-1,0.2809756782564736,1m
16,3figures-2,0.5050420976665864,1m
17,3figures-1,0.25479966329966325,1m
17,3figures-2,0.43619806763285074,1m
18,3figures-1,0.2548961474036851,1m
18,3figures-2,0.3926320987654323,1m
19,3figures-1,0.23406946778711482,1m
19,3figures-2,0.4035863746958635,1m
20,3figures-1,0.2278651118461624,1m
20,3figures-2,0.440373514431239,1m
21,3figures-1,0.19814054900206857,1m
21,3figures-2,0.4366265651853673,1m
22,3figures-1,0.20666759558577652,1m
22,3figures-2,0.3787680438028871,1m
23,3figures-1,0.18645435244161346,1m
23,3figures-2,0.3975507174666004,1m
